,code,Name,State,population,growth,households,median_age,per_cap_income,hh_income,labor_force,unempl_rate,poverty_rate,hs_rate,college_rate
0,1001,Autauga ,AL,55504.0,1.7,20800.0,37.8,39721.0,54487.0,25909.0,3.9,13.5,87.6,24.6
1,1003,Baldwin ,AL,212628.0,16.7,75149.0,42.3,41286.0,56460.0,91567.0,4.0,11.7,90.0,29.5
2,1005,Barbour ,AL,25270.0,-8.0,9122.0,38.7,31788.0,32884.0,8236.0,5.9,29.9,73.8,12.9
3,1007,Bibb ,AL,22668.0,-1.1,7048.0,40.2,29264.0,43079.0,8506.0,4.4,20.1,80.7,12.0
4,1009,Blount ,AL,58013.0,1.2,20619.0,40.8,31470.0,47213.0,24494.0,4.0,14.1,80.0,13.0
5,1011,Bullock ,AL,10309.0,-5.5,3556.0,39.2,26661.0,34278.0,4812.0,4.9,32.6,66.6,10.3
6,1013,Butler ,AL,19825.0,-5.4,7675.0,40.6,33694.0,35409.0,8946.0,5.5,24.8,81.1,16.1
7,1015,Calhoun ,AL,114728.0,-3.2,45071.0,39.1,34401.0,41778.0,45582.0,4.9,17.1,82.3,17.7
8,1017,Chambers ,AL,33713.0,-1.5,13851.0,43.1,31925.0,39530.0,15176.0,4.1,19.9,80.3,12.5
9,1019,Cherokee ,AL,25857.0,-0.5,10999.0,45.7,33057.0,41456.0,11174.0,4.1,16.8,81.3,14.0
10,1021,Chilton ,AL,44067.0,1.0,16619.0,38.7,32041.0,44188.0,19118.0,4.0,18.3,80.1,14.9
11,1023,Choctaw ,AL,12945.0,-6.6,5562.0,45.1,31926.0,32691.0,4336.0,6.4,22.7,78.9,12.0
12,1025,Clarke ,AL,24083.0,-6.8,9554.0,42.0,33096.0,34061.0,7720.0,8.5,29.0,81.0,12.1
13,1027,Clay ,AL,13367.0,-4.1,5363.0,43.7,33452.0,38512.0,5721.0,4.4,18.9,74.6,11.1
14,1029,Cleburne ,AL,14900.0,-0.5,5834.0,41.5,31917.0,43483.0,5742.0,4.5,17.2,74.2,11.5
15,1031,Coffee ,AL,51874.0,3.9,19375.0,39.3,39923.0,48632.0,20671.0,4.4,14.4,85.1,23.7
16,1033,Colbert ,AL,54500.0,0.1,22105.0,42.4,36422.0,46572.0,23092.0,5.2,16.7,83.4,18.5
17,1035,Conecuh ,AL,12469.0,-5.7,5090.0,44.0,30349.0,29758.0,4446.0,6.1,28.1,79.4,8.7
18,1037,Coosa ,AL,10754.0,-6.8,4206.0,44.9,29276.0,36441.0,4348.0,4.6,17.5,72.9,9.9
19,1039,Covington ,AL,37092.0,-1.8,15179.0,42.9,32340.0,35010.0,15646.0,5.2,19.6,80.9,14.9
20,1041,Crenshaw ,AL,13871.0,-0.3,5426.0,41.6,33684.0,37374.0,6417.0,4.5,20.5,78.3,14.6
21,1043,Cullman ,AL,82755.0,2.9,31081.0,40.5,36315.0,41543.0,37637.0,3.7,14.9,82.2,15.0
22,1045,Dale ,AL,49226.0,-2.0,18794.0,36.9,34673.0,40523.0,19868.0,4.4,20.6,85.8,16.1
23,1047,Dallas ,AL,39215.0,-10.5,16099.0,38.9,33578.0,30488.0,14935.0,7.5,35.4,79.0,13.8
24,1049,De Kalb ,AL,71617.0,0.7,24811.0,39.3,29610.0,37128.0,29038.0,4.5,20.5,72.6,11.4
25,1051,Elmore ,AL,81677.0,3.0,28890.0,38.3,39226.0,54553.0,37236.0,3.6,13.5,86.8,22.2
26,1053,Escambia ,AL,37447.0,-2.3,13536.0,39.9,31174.0,35096.0,14352.0,5.0,23.3,80.5,11.6
27,1055,Etowah ,AL,102755.0,-1.6,39522.0,40.9,34932.0,40972.0,42894.0,4.6,17.5,82.5,16.5
28,1057,Fayette ,AL,16468.0,-4.5,6850.0,43.6,31296.0,38403.0,6529.0,4.7,20.3,79.2,14.1
29,1059,Franklin ,AL,31495.0,-0.7,11697.0,39.1,32203.0,37049.0,13960.0,4.2,20.1,75.7,12.4
30,1061,Geneva ,AL,26421.0,-1.4,10657.0,42.0,32418.0,36976.0,10817.0,4.3,20.9,77.7,11.7
31,1063,Greene ,AL,8330.0,-7.9,3107.0,41.3,32245.0,26559.0,2833.0,7.7,34.0,76.9,10.0
32,1065,Hale ,AL,14812.0,-6.0,5948.0,39.7,35388.0,35381.0,6007.0,5.9,23.7,81.4,14.0
33,1067,Henry ,AL,17147.0,-0.9,6831.0,43.2,36952.0,41426.0,6697.0,4.9,18.7,80.7,16.1
34,1069,Houston ,AL,104346.0,2.8,39363.0,39.3,39321.0,42910.0,44411.0,4.3,19.4,84.9,21.0
35,1071,Jackson ,AL,51909.0,-2.5,19945.0,42.8,34151.0,41407.0,23066.0,4.8,17.5,79.5,12.6
36,1073,Jefferson ,AL,659197.0,0.1,261773.0,37.5,49386.0,50109.0,309076.0,4.2,15.3,89.0,31.4
37,1075,Lamar ,AL,13946.0,-4.2,6010.0,44.3,30954.0,38358.0,5703.0,4.2,18.6,77.4,13.1
38,1077,Lauderdale ,AL,92538.0,-0.2,38361.0,41.3,35485.0,44124.0,41868.0,4.6,15.2,84.9,21.7
39,1079,Lawrence ,AL,33049.0,-3.8,13321.0,42.2,31245.0,43107.0,13640.0,4.9,16.8,77.5,10.3
40,1081,Lee ,AL,161604.0,15.2,57901.0,30.5,34372.0,47749.0,73520.0,3.9,18.3,88.7,34.4
41,1083,Limestone ,AL,94402.0,14.0,32073.0,39.0,37913.0,52181.0,41092.0,4.0,12.8,83.2,23.3
42,1085,Lowndes ,AL,10076.0,-10.8,4238.0,40.4,37049.0,32011.0,3750.0,8.0,31.7,74.8,12.3
43,1087,Macon ,AL,18755.0,-12.6,7915.0,38.2,31579.0,30681.0,7892.0,5.8,30.0,80.5,20.0
44,1089,Madison ,AL,361046.0,7.8,139949.0,38.1,47095.0,61193.0,175153.0,3.8,13.5,90.8,40.7
45,1091,Marengo ,AL,19375.0,-7.9,8149.0,42.2,36551.0,34794.0,7623.0,5.7,25.8,83.9,14.8
