,code,Name,State,population,land_area,growth,households,median_age,hisp_pop,white_pop,per_cap_income,hh_income,labor_force,unempl_rate,poverty_rate,hs_rate,college_rate
0,1001,Autauga ,AL,55504.0,594.44,1.7,20800.0,37.8,1416.0,42311.0,39721.0,54487.0,25909.0,3.9,13.5,87.6,24.6
1,1003,Baldwin ,AL,212628.0,1589.78,16.7,75149.0,42.3,8712.0,172441.0,41286.0,56460.0,91567.0,4.0,11.7,90.0,29.5
2,1005,Barbour ,AL,25270.0,884.88,-8.0,9122.0,38.7,1147.0,12430.0,31788.0,32884.0,8236.0,5.9,29.9,73.8,12.9
3,1007,Bibb ,AL,22668.0,622.58,-1.1,7048.0,40.2,502.0,17370.0,29264.0,43079.0,8506.0,4.4,20.1,80.7,12.0
4,1009,Blount ,AL,58013.0,644.78,1.2,20619.0,40.8,5036.0,55073.0,31470.0,47213.0,24494.0,4.0,14.1,80.0,13.0
5,1011,Bullock ,AL,10309.0,622.80,-5.5,3556.0,39.2,13.0,2301.0,26661.0,34278.0,4812.0,4.9,32.6,66.6,10.3
6,1013,Butler ,AL,19825.0,776.83,-5.4,7675.0,40.6,253.0,10876.0,33694.0,35409.0,8946.0,5.5,24.8,81.1,16.1
7,1015,Calhoun ,AL,114728.0,605.87,-3.2,45071.0,39.1,3982.0,86777.0,34401.0,41778.0,45582.0,4.9,17.1,82.3,17.7
8,1017,Chambers ,AL,33713.0,596.53,-1.5,13851.0,43.1,148.0,19417.0,31925.0,39530.0,15176.0,4.1,19.9,80.3,12.5
9,1019,Cherokee ,AL,25857.0,553.70,-0.5,10999.0,45.7,405.0,24156.0,33057.0,41456.0,11174.0,4.1,16.8,81.3,14.0
10,1021,Chilton ,AL,44067.0,692.85,1.0,16619.0,38.7,3341.0,36740.0,32041.0,44188.0,19118.0,4.0,18.3,80.1,14.9
11,1023,Choctaw ,AL,12945.0,913.50,-6.6,5562.0,45.1,74.0,7495.0,31926.0,32691.0,4336.0,6.4,22.7,78.9,12.0
12,1025,Clarke ,AL,24083.0,1238.46,-6.8,9554.0,42.0,43.0,13253.0,33096.0,34061.0,7720.0,8.5,29.0,81.0,12.1
13,1027,Clay ,AL,13367.0,603.96,-4.1,5363.0,43.7,419.0,11177.0,33452.0,38512.0,5721.0,4.4,18.9,74.6,11.1
14,1029,Cleburne ,AL,14900.0,560.10,-0.5,5834.0,41.5,349.0,14176.0,31917.0,43483.0,5742.0,4.5,17.2,74.2,11.5
15,1031,Coffee ,AL,51874.0,678.97,3.9,19375.0,39.3,3344.0,38945.0,39923.0,48632.0,20671.0,4.4,14.4,85.1,23.7
16,1033,Colbert ,AL,54500.0,592.62,0.1,22105.0,42.4,1306.0,43379.0,36422.0,46572.0,23092.0,5.2,16.7,83.4,18.5
17,1035,Conecuh ,AL,12469.0,850.16,-5.7,5090.0,44.0,224.0,6593.0,30349.0,29758.0,4446.0,6.1,28.1,79.4,8.7
18,1037,Coosa ,AL,10754.0,650.93,-6.8,4206.0,44.9,140.0,7204.0,29276.0,36441.0,4348.0,4.6,17.5,72.9,9.9
19,1039,Covington ,AL,37092.0,1030.46,-1.8,15179.0,42.9,578.0,31881.0,32340.0,35010.0,15646.0,5.2,19.6,80.9,14.9
20,1041,Crenshaw ,AL,13871.0,608.84,-0.3,5426.0,41.6,234.0,9935.0,33684.0,37374.0,6417.0,4.5,20.5,78.3,14.6
21,1043,Cullman ,AL,82755.0,734.84,2.9,31081.0,40.5,3426.0,77946.0,36315.0,41543.0,37637.0,3.7,14.9,82.2,15.0
22,1045,Dale ,AL,49226.0,561.15,-2.0,18794.0,36.9,2921.0,36921.0,34673.0,40523.0,19868.0,4.4,20.6,85.8,16.1
23,1047,Dallas ,AL,39215.0,978.69,-10.5,16099.0,38.9,397.0,11884.0,33578.0,30488.0,14935.0,7.5,35.4,79.0,13.8
24,1049,De Kalb ,AL,71617.0,777.09,0.7,24811.0,39.3,9942.0,61858.0,29610.0,37128.0,29038.0,4.5,20.5,72.6,11.4
25,1051,Elmore ,AL,81677.0,618.48,3.0,28890.0,38.3,2268.0,61018.0,39226.0,54553.0,37236.0,3.6,13.5,86.8,22.2
26,1053,Escambia ,AL,37447.0,945.08,-2.3,13536.0,39.9,780.0,23453.0,31174.0,35096.0,14352.0,5.0,23.3,80.5,11.6
27,1055,Etowah ,AL,102755.0,534.99,-1.6,39522.0,40.9,3752.0,84024.0,34932.0,40972.0,42894.0,4.6,17.5,82.5,16.5
28,1057,Fayette ,AL,16468.0,627.66,-4.5,6850.0,43.6,144.0,14371.0,31296.0,38403.0,6529.0,4.7,20.3,79.2,14.1
29,1059,Franklin ,AL,31495.0,633.82,-0.7,11697.0,39.1,5057.0,28133.0,32203.0,37049.0,13960.0,4.2,20.1,75.7,12.4
30,1061,Geneva ,AL,26421.0,574.41,-1.4,10657.0,42.0,992.0,23235.0,32418.0,36976.0,10817.0,4.3,20.9,77.7,11.7
31,1063,Greene ,AL,8330.0,647.11,-7.9,3107.0,41.3,53.0,1472.0,32245.0,26559.0,2833.0,7.7,34.0,76.9,10.0
32,1065,Hale ,AL,14812.0,643.94,-6.0,5948.0,39.7,183.0,6062.0,35388.0,35381.0,6007.0,5.9,23.7,81.4,14.0
33,1067,Henry ,AL,17147.0,561.75,-0.9,6831.0,43.2,435.0,12113.0,36952.0,41426.0,6697.0,4.9,18.7,80.7,16.1
34,1069,Houston ,AL,104346.0,579.82,2.8,39363.0,39.3,3311.0,72332.0,39321.0,42910.0,44411.0,4.3,19.4,84.9,21.0
35,1071,Jackson ,AL,51909.0,1077.87,-2.5,19945.0,42.8,1435.0,47949.0,34151.0,41407.0,23066.0,4.8,17.5,79.5,12.6
36,1073,Jefferson ,AL,659197.0,1111.28,0.1,261773.0,37.5,24316.0,345499.0,49386.0,50109.0,309076.0,4.2,15.3,89.0,31.4
37,1075,Lamar ,AL,13946.0,604.85,-4.2,6010.0,44.3,201.0,12315.0,30954.0,38358.0,5703.0,4.2,18.6,77.4,13.1
38,1077,Lauderdale ,AL,92538.0,667.70,-0.2,38361.0,41.3,2217.0,80627.0,35485.0,44124.0,41868.0,4.6,15.2,84.9,21.7
39,1079,Lawrence ,AL,33049.0,690.68,-3.8,13321.0,42.2,691.0,26108.0,31245.0,43107.0,13640.0,4.9,16.8,77.5,10.3
40,1081,Lee ,AL,161604.0,607.54,15.2,57901.0,30.5,5681.0,107682.0,34372.0,47749.0,73520.0,3.9,18.3,88.7,34.4
41,1083,Limestone ,AL,94402.0,559.94,14.0,32073.0,39.0,5135.0,73517.0,37913.0,52181.0,41092.0,4.0,12.8,83.2,23.3
42,1085,Lowndes ,AL,10076.0,715.91,-10.8,4238.0,40.4,50.0,2612.0,37049.0,32011.0,3750.0,8.0,31.7,74.8,12.3
43,1087,Macon ,AL,18755.0,608.89,-12.6,7915.0,38.2,324.0,3106.0,31579.0,30681.0,7892.0,5.8,30.0,80.5,20.0
44,1089,Madison ,AL,361046.0,801.59,7.8,139949.0,38.1,16362.0,240861.0,47095.0,61193.0,175153.0,3.8,13.5,90.8,40.7
45,1091,Marengo ,AL,19375.0,976.88,-7.9,8149.0,42.2,190.0,9167.0,36551.0,34794.0,7623.0,5.7,25.8,83.9,14.8
46,1093,Marion ,AL,29833.0,742.29,-3.1,12486.0,43.9,726.0,28242.0,29273.0,36386.0,12517.0,4.8,18.5,79.9,12.5
47,1095,Marshall ,AL,95548.0,565.84,2.7,34461.0,38.8,12210.0,87423.0,33640.0,42117.0,42108.0,3.8,21.0,78.6,16.6
48,1097,Mobile ,AL,413955.0,1229.44,0.2,154261.0,37.2,10957.0,246794.0,35951.0,45233.0,186239.0,5.2,19.5,85.8,22.5
49,1099,Monroe ,AL,21327.0,1025.67,-7.5,8316.0,41.5,136.0,12065.0,32219.0,36639.0,7165.0,6.7,25.7,82.0,12.4
50,1101,Montgomery ,AL,226646.0,784.25,-1.2,90281.0,36.0,7530.0,85928.0,41404.0,45111.0,105505.0,4.3,18.8,85.5,31.5
51,1103,Morgan ,AL,118818.0,579.34,-0.6,46164.0,39.8,9339.0,97880.0,36746.0,46843.0,54840.0,4.1,15.8,82.5,21.4
52,1105,Perry ,AL,9339.0,719.66,-11.8,3198.0,37.1,94.0,2962.0,30099.0,25221.0,3402.0,7.9,35.0,76.4,14.5
53,1107,Pickens ,AL,20176.0,881.41,2.2,7618.0,42.2,486.0,11254.0,29966.0,35968.0,7783.0,5.3,25.8,81.1,11.1
54,1109,Pike ,AL,33267.0,672.09,1.1,12802.0,31.2,730.0,19408.0,35287.0,35172.0,15238.0,4.9,25.1,80.0,24.0
55,1111,Randolph ,AL,22670.0,580.55,-1.1,8691.0,42.8,661.0,17452.0,32160.0,40283.0,9373.0,4.4,21.8,77.3,15.4
56,1113,Russell ,AL,57045.0,641.14,7.7,22333.0,34.8,2974.0,30392.0,30214.0,38617.0,23457.0,4.3,19.3,82.6,17.0
57,1115,St Clair ,AL,88199.0,631.90,5.5,31832.0,40.0,1961.0,75738.0,34676.0,57856.0,38946.0,4.0,12.0,83.5,16.1
58,1117,Shelby ,AL,213605.0,784.93,9.5,75942.0,38.1,11861.0,167257.0,50421.0,74212.0,109331.0,3.2,7.9,91.6,41.4
59,1119,Sumter ,AL,12687.0,903.89,-7.8,4878.0,36.5,39.0,3280.0,30845.0,26814.0,5016.0,6.5,32.4,80.0,18.1
60,1121,Talladega ,AL,80065.0,736.78,-2.7,31461.0,40.8,1752.0,52390.0,32172.0,40555.0,34501.0,5.0,18.0,79.8,13.1
61,1123,Tallapoosa ,AL,40681.0,716.52,-2.2,16338.0,43.0,988.0,28778.0,37320.0,40169.0,18279.0,4.2,20.2,79.6,17.3
62,1125,Tuscaloosa ,AL,207811.0,1321.75,6.8,70440.0,32.1,6666.0,132344.0,35909.0,47483.0,99237.0,4.1,17.6,88.1,29.4
63,1127,Walker ,AL,64058.0,791.19,-4.4,25194.0,42.3,1483.0,59932.0,37191.0,39511.0,25145.0,5.0,20.5,78.6,10.5
