county,code,college_rate,rank
"Falls Church Independent City, VA",51610,80.20%,1
"Arlington County, VA",51013,73.70%,2
"Los Alamos County, NM",35028,64.60%,3
"Alexandria Independent City, VA",51510,62.10%,4
"Howard County, MD",24027,61.00%,5
"New York County, NY",36061,60.40%,6
"Pitkin County, CO",8097,60.40%,6
"Fairfax County, VA",51059,60.30%,8
"Boulder County, CO",8013,59.30%,9
"Loudoun County, VA",51107,58.80%,10
"Montgomery County, MD",24031,58.10%,11
"Orange County, NC",37135,57.70%,12
"Douglas County, CO",8035,57.50%,13
"Marin County, CA",6041,57.10%,14
"Williamsburg Independent City, VA",51830,56.70%,15
"Williamson County, TN",47187,56.60%,16
"Hamilton County, IN",18057,56.30%,17
"District of Columbia, DC",11001,55.40%,18
"San Miguel County, CO",8113,55.10%,19
"San Francisco County, CA",6075,54.80%,20
"Fairfax Independent City, VA",51600,54.70%,21
"Ouray County, CO",8091,54.50%,22
"Teton County, WY",56039,53.80%,23
"Benton County, OR",41003,53.70%,24
"Johnson County, KS",20091,53.60%,25
"Washtenaw County, MI",26161,53.20%,26
"Middlesex County, MA",25017,53.00%,27
"Somerset County, NJ",34035,53.00%,27
"Gunnison County, CO",8051,52.60%,29
"Broomfield County, CO",8014,52.50%,30
"Delaware County, OH",39041,52.50%,30
"Johnson County, IA",19103,52.40%,32
"Summit County, UT",49043,52.10%,33
"Morris County, NJ",34027,51.90%,34
"Tompkins County, NY",36109,51.60%,35
"Albemarle County, VA",51003,51.50%,36
"Norfolk County, MA",25021,51.20%,37
"Story County, IA",19169,50.30%,38
"Chester County, PA",42029,50.20%,39
"Collin County, TX",48085,50.20%,39
"Wake County, NC",37183,50.10%,41
"Charlottesville Independent City, VA",51540,50.00%,42
"Summit County, CO",8117,49.90%,43
"Fulton County, GA",13121,49.80%,44
"Whitman County, WA",53075,49.80%,44
"Douglas County, KS",20045,49.70%,46
"Hunterdon County, NJ",34019,49.60%,47
"Routt County, CO",8107,49.40%,48
"Chittenden County, VT",50007,49.40%,48
"Santa Clara County, CA",6085,49.10%,50
"King County, WA",53033,49.10%,50
