county,code,growth,rank
"McKenzie County, ND",38053,100.10%,1
"Loving County, TX",48301,63.40%,2
"Williams County, ND",38105,48.90%,3
"Hays County, TX",48209,36.50%,4
"Wasatch County, UT",49051,36.40%,5
"Sumter County, FL",12119,34.00%,6
"Mountrail County, ND",38061,33.80%,7
"Dallas County, IA",19049,31.90%,8
"Kendall County, TX",48259,31.80%,9
"Long County, GA",13183,31.50%,10
"Osceola County, FL",12097,31.10%,11
"Fort Bend County, TX",48157,30.70%,12
"Comal County, TX",48091,30.00%,13
"Forsyth County, GA",13117,29.90%,14
"Williamson County, TX",48491,29.50%,15
"St. Bernard Parish, LA",22087,28.70%,16
"St. Johns County, FL",12109,28.30%,17
"Trousdale County, TN",47169,28.10%,18
"Loudoun County, VA",51107,27.50%,19
"Hudspeth County, TX",48229,26.80%,20
"Lincoln County, SD",46083,26.40%,21
"Denton County, TX",48121,26.20%,22
"Morgan County, UT",49029,25.40%,23
"Montgomery County, TX",48339,25.30%,24
"Stark County, ND",38089,24.80%,25
"Walton County, FL",12131,24.20%,26
"Collin County, TX",48085,23.90%,27
"Horry County, SC",45051,23.80%,28
"Rockwall County, TX",48397,23.60%,29
"Williamson County, TN",47187,23.50%,30
"Bryan County, GA",13029,22.60%,31
"Berkeley County, SC",45015,22.50%,32
"Broomfield County, CO",8014,22.30%,33
"Columbia County, GA",13073,22.20%,34
"Brunswick County, NC",37019,21.80%,35
"Guadalupe County, TX",48187,21.40%,36
"Dunn County, ND",38025,21.30%,37
"Canadian County, OK",40017,21.10%,38
"Rutherford County, TN",47149,20.80%,39
"Lancaster County, SC",45057,20.70%,40
"Midland County, TX",48329,20.60%,41
"Weld County, CO",8123,20.50%,42
"Gallatin County, MT",30031,20.40%,43
"Benton County, AR",5007,20.30%,44
"Billings County, ND",38007,20.10%,45
"Washington County, UT",49053,19.90%,46
"Andrews County, TX",48003,19.90%,46
"Travis County, TX",48453,19.80%,48
"Matanuska-Susitna Borough, AK",2170,19.70%,49
"Wilson County, TN",47189,19.70%,49
"Lee County, FL",12071,19.50%,51
"Manatee County, FL",12081,19.40%,52
"Wake County, NC",37183,19.00%,53
"Kaufman County, TX",48257,18.90%,54
"Waller County, TX",48473,18.80%,55
"Cass County, ND",38017,18.70%,56
"Deschutes County, OR",41017,18.50%,57
"Chambers County, TX",48071,18.10%,58
"Hamilton County, IN",18057,17.90%,59
"Franklin County, WA",53021,17.90%,59
"York County, SC",45091,17.90%,59
"Gaines County, TX",48165,17.80%,62
"Orange County, FL",12095,17.70%,63
"New Kent County, VA",51127,17.70%,63
"Douglas County, CO",8035,17.50%,65
"Denver County, CO",8031,17.40%,66
"Utah County, UT",49049,17.40%,66
"Martin County, TX",48317,17.20%,68
"Mecklenburg County, NC",37119,17.10%,69
"Burleigh County, ND",38015,16.90%,70
"Pender County, NC",37141,16.70%,71
"Baldwin County, AL",1003,16.70%,71
"Lake County, FL",12069,16.50%,73
"Johnston County, NC",37101,16.50%,73
"Durham County, NC",37063,16.50%,73
"Ada County, ID",16001,16.40%,76
"Scott County, KY",21209,16.30%,77
"Boone County, IN",18011,16.30%,77
"Cabarrus County, NC",37025,16.20%,79
"Montgomery County, TN",47125,16.20%,79
"Ellis County, TX",48139,16.00%,81
"Collier County, FL",12021,16.00%,81
"Oconee County, GA",13219,15.90%,83
"Tooele County, UT",49045,15.90%,83
"Harnett County, NC",37085,15.80%,85
"Brazoria County, TX",48039,15.70%,86
"Cherokee County, GA",13057,15.50%,87
"Flagler County, FL",12035,15.50%,87
"District of Columbia, DC",11001,15.30%,89
"Hoke County, NC",37093,15.30%,89
"Lee County, AL",1081,15.20%,91
"Beaufort County, SC",45013,15.20%,91
