county,code,hh_income,rank
"Loudoun County, VA",51107,"$134,609 ",1
"Howard County, MD",24027,"$119,386 ",2
"Falls Church Independent City, VA",51610,"$118,035 ",3
"Fairfax County, VA",51059,"$115,518 ",4
"Los Alamos County, NM",35028,"$114,670 ",5
"Hunterdon County, NJ",34019,"$113,336 ",6
"Douglas County, CO",8035,"$112,399 ",7
"Santa Clara County, CA",6085,"$110,843 ",8
"Arlington County, VA",51013,"$108,635 ",9
"Williamson County, TN",47187,"$107,942 ",10
"San Mateo County, CA",6081,"$107,075 ",11
"Morris County, NJ",34027,"$107,019 ",12
"Nassau County, NY",36059,"$105,486 ",13
"Somerset County, NJ",34035,"$104,668 ",14
"Marin County, CA",6041,"$103,488 ",15
"Delaware County, OH",39041,"$102,990 ",16
"San Francisco County, CA",6075,"$101,873 ",17
"Forsyth County, GA",13117,"$101,804 ",18
"Montgomery County, MD",24031,"$99,604 ",19
"Stafford County, VA",51179,"$97,607 ",20
"Prince William County, VA",51153,"$97,549 ",21
"Rockwall County, TX",48397,"$97,484 ",22
"Calvert County, MD",24009,"$97,188 ",23
"Putnam County, NY",36079,"$96,267 ",24
"Anne Arundel County, MD",24003,"$95,297 ",25
"Middlesex County, MA",25017,"$94,977 ",26
"Fairfax Independent City, VA",51600,"$94,701 ",27
"Summit County, UT",49043,"$94,540 ",28
"Carver County, MN",27019,"$94,057 ",29
"Charles County, MD",24017,"$93,947 ",30
"Bergen County, NJ",34003,"$93,205 ",31
"Norfolk County, MA",25021,"$92,606 ",32
"Chester County, PA",42029,"$92,551 ",33
"Oldham County, KY",21185,"$92,454 ",34
"Hamilton County, IN",18057,"$92,406 ",35
"Suffolk County, NY",36103,"$92,310 ",36
"Kendall County, IL",17093,"$91,952 ",37
"Fauquier County, VA",51061,"$91,372 ",38
"Scott County, MN",27139,"$91,046 ",39
"Fort Bend County, TX",48157,"$90,972 ",40
"Contra Costa County, CA",6013,"$90,920 ",41
"Washington County, MN",27163,"$90,755 ",42
"Collin County, TX",48085,"$90,382 ",43
"Poquoson Independent City, VA",51735,"$90,119 ",44
"Monmouth County, NJ",34025,"$89,968 ",45
"Fairfield County, CT",9001,"$89,954 ",46
"Frederick County, MD",24021,"$89,541 ",47
"Carroll County, MD",24013,"$89,529 ",48
"Alameda County, CA",6001,"$89,472 ",49
"Westchester County, NY",36119,"$89,380 ",50
"Goochland County, VA",51075,"$88,815 ",51
"Oconee County, GA",13219,"$88,570 ",52
"York County, VA",51199,"$87,910 ",53
"Alexandria Independent City, VA",51510,"$87,822 ",54
"Sussex County, NJ",34037,"$87,549 ",55
"Broomfield County, CO",8014,"$86,870 ",56
"Elbert County, CO",8039,"$86,693 ",57
"King County, WA",53033,"$85,907 ",58
"Ozaukee, WI",55089,"$85,706 ",59
"Morgan County, UT",49029,"$85,681 ",60
"Placer County, CA",6061,"$85,326 ",61
"DuPage County, IL",17043,"$84,999 ",62
"Lincoln County, SD",46083,"$84,610 ",63
"New Kent County, VA",51127,"$84,486 ",64
"Rockland County, NY",36087,"$84,358 ",65
"Montgomery County, PA",42091,"$84,156 ",66
"Teton County, WY",56039,"$84,118 ",67
"James City County, VA",51095,"$84,035 ",68
"Anchorage Borough, AK",2020,"$83,959 ",69
"Kendall County, TX",48259,"$83,805 ",70
"Harford County, MD",24025,"$83,595 ",71
"Hanover County, VA",51085,"$83,405 ",72
"Lake County, IL",17097,"$83,344 ",73
"Sherburne County, MN",27141,"$83,304 ",74
"Fayette County, GA",13113,"$83,145 ",75
"Monroe County, IL",17133,"$83,139 ",76
"Williamson County, TX",48491,"$82,370 ",77
"Nantucket County, MA",25019,"$82,324 ",78
"Middlesex County, NJ",34023,"$82,183 ",79
"Dallas County, IA",19049,"$82,123 ",80
"Waukesha, WI",55133,"$82,080 ",81
"Rockingham, NH",33015,"$82,016 ",82
"Juneau Borough, AK",2110,"$82,011 ",83
"Williams County, ND",38105,"$81,719 ",84
"Orange County, CA",6059,"$81,642 ",85
"Will County, IL",17197,"$81,640 ",86
"McHenry County, IL",17111,"$81,570 ",87
"Warren County, OH",39165,"$81,543 ",88
"Plymouth County, MA",25023,"$81,483 ",89
"Tolland County, CT",9013,"$81,369 ",90
"Spotsylvania County, VA",51177,"$81,065 ",91
"Johnson County, KS",20091,"$80,872 ",92
"Denton County, TX",48121,"$80,841 ",93
"St. Charles County, MO",29183,"$80,696 ",94
"King George County, VA",51099,"$80,664 ",95
"Boone County, IN",18011,"$80,634 ",96
"Chambers County, TX",48071,"$80,279 ",97
"Middlesex County, CT",9007,"$80,190 ",98
"Bucks County, PA",42017,"$80,132 ",99
"Burlington County, NJ",34005,"$80,081 ",100
"Mercer County, ND",38057,"$80,072 ",101
"St. Mary's County, MD",24037,"$80,049 ",102
"Honolulu County, HI",15003,"$80,012 ",103
"Queen Anne's County, MD",24035,"$79,966 ",104
"Eagle County, CO",8037,"$79,556 ",105
"Ventura County, CA",6111,"$79,470 ",106
"Livingston County, MI",26093,"$79,388 ",107
"Gloucester County, NJ",34015,"$79,332 ",108
"Campbell County, WY",56005,"$79,148 ",109
"Dakota County, MN",27037,"$79,111 ",110
"Union County, OH",39159,"$78,796 ",111
"Prince George's County, MD",24033,"$78,680 ",112
"Cherokee County, GA",13057,"$78,668 ",113
"Stark County, ND",38089,"$78,604 ",114
"Snohomish County, WA",53061,"$78,582 ",115
