county,code,hisp_pop,rank
"Los Angeles County, CA",6037,"4,861,648",1
"Harris County, TX",48201,"1,855,604",2
"Miami-Dade County, FL",12086,"1,769,923",3
"Cook County, IL",17031,"1,300,843",4
"Maricopa County, AZ",4013,"1,238,292",5
"Bexar County, TX",48029,"1,105,240",6
"Riverside County, CA",6065,"1,102,968",7
"San Bernardino County, CA",6071,"1,089,104",8
"San Diego County, CA",6073,"1,076,319",9
"Orange County, CA",6059,"1,070,553",10
"Dallas County, TX",48113,"987,849",11
"Bronx County, NY",36005,"796,193",12
"Hidalgo County, TX",48215,"757,725",13
"El Paso County, TX",48141,"681,709",14
"Queens County, NY",36081,"647,005",15
"Clark County, NV",32003,"628,456",16
"Tarrant County, TX",48439,"541,947",17
"Broward County, FL",12011,"513,748",18
"Kings County, NY",36047,"506,102",19
"Fresno County, CA",6019,"501,136",20
"Santa Clara County, CA",6085,"496,591",21
"Kern County, CA",6029,"449,747",22
"New York County, NY",36061,"423,526",23
"Travis County, TX",48453,"387,357",24
"Cameron County, TX",48061,"372,685",25
"Orange County, FL",12095,"368,503",26
"Pima County, AZ",4019,"362,265",27
"Alameda County, CA",6001,"362,070",28
"Ventura County, CA",6111,"353,232",29
"Hillsborough County, FL",12057,"352,295",30
"Sacramento County, CA",6067,"332,967",31
"Bernalillo County, NM",35001,"331,567",32
"Palm Beach County, FL",12099,"289,651",33
"San Joaquin County, CA",6077,"289,329",34
"Hudson County, NJ",34017,"287,817",35
"Tulare County, CA",6107,"287,144",36
"Contra Costa County, CA",6013,"277,676",37
"Suffolk County, NY",36103,"272,306",38
"Webb County, TX",48479,"253,982",39
"Monterey County, CA",6053,"247,084",40
"Stanislaus County, CA",6099,"234,995",41
"Westchester County, NY",36119,"228,843",42
"Nueces County, TX",48355,"222,473",43
"Nassau County, NY",36059,"218,178",44
"Philadelphia County, PA",42101,"214,770",45
"Denver County, CO",8031,"204,042",46
"Passaic County, NJ",34031,"202,234",47
"Santa Barbara County, CA",6083,"195,021",48
"King County, WA",53033,"194,189",49
"Salt Lake County, UT",49035,"193,768",50
"Montgomery County, MD",24031,"190,550",51
"San Mateo County, CA",6081,"189,305",52
"Adams County, CO",8001,"186,852",53
"Fairfax County, VA",51059,"181,940",54
"Gwinnett County, GA",13135,"179,634",55
"Fairfield County, CT",9001,"175,480",56
"Essex County, NJ",34013,"174,414",57
"Bergen County, NJ",34003,"171,201",58
"Suffolk County, MA",25025,"167,446",59
"Middlesex County, NJ",34023,"166,115",60
"Union County, NJ",34039,"165,481",61
"Kane County, IL",17089,"165,114",62
"Fort Bend County, TX",48157,"164,065",63
"Osceola County, FL",12097,"156,730",64
"Merced County, CA",6047,"152,475",65
"Hartford County, CT",9003,"151,355",66
"Prince George's County, MD",24033,"150,268",67
"Imperial County, CA",6025,"147,880",68
"Lake County, IL",17097,"146,608",69
"Essex County, MA",25009,"144,843",70
"New Haven County, CT",9009,"144,549",71
"Dona Ana County, NM",35013,"143,707",72
"Denton County, TX",48121,"142,619",73
"Milwaukee, WI",55079,"136,609",74
"Lee County, FL",12071,"133,752",75
"Collin County, TX",48085,"132,845",76
"Providence County, RI",44007,"132,321",77
"DuPage County, IL",17043,"129,964",78
"San Francisco County, CA",6075,"129,898",79
"Sonoma County, CA",6097,"129,634",80
"Mecklenburg County, NC",37119,"127,614",81
"Yuma County, AZ",4027,"125,972",82
"Polk County, FL",12105,"125,841",83
"Oklahoma County, OK",40109,"125,150",84
"Yakima County, WA",53077,"118,091",85
"Middlesex County, MA",25017,"117,082",86
"Williamson County, TX",48491,"116,943",87
"Montgomery County, TX",48339,"116,429",88
"Pinal County, AZ",4021,"116,072",89
"Arapahoe County, CO",8005,"115,309",90
"Will County, IL",17197,"113,180",91
"Solano County, CA",6095,"109,287",92
"Hampden County, MA",25013,"109,127",93
"El Paso County, CO",8041,"107,654",94
"Washoe County, NV",32031,"103,468",95
"Lubbock County, TX",48303,"99,863",96
"Wayne County, MI",26163,"99,752",97
"Brazoria County, TX",48039,"98,927",98
"Wake County, NC",37183,"98,800",99
"Prince William County, VA",51153,"97,117",100
"Collier County, FL",12021,"92,751",101
"Honolulu County, HI",15003,"92,635",102
"Cobb County, GA",13067,"91,921",103
"Marion County, IN",18097,"91,656",104
"Washington County, OR",41067,"91,495",105
"Santa Cruz County, CA",6087,"89,587",106
"Ector County, TX",48135,"88,372",107
"Lake County, IN",18089,"88,341",108
"Multnomah County, OR",41051,"86,579",109
"Madera County, CA",6039,"86,265",110
"Seminole County, FL",12117,"85,292",111
"Worcester County, MA",25027,"85,228",112
"Richmond County, NY",36085,"85,119",113
"Pierce County, WA",53053,"84,021",114
"Jefferson County, CO",8059,"84,009",115
"Marion County, OR",41047,"83,659",116
"Pinellas County, FL",12103,"83,145",117
"Hennepin County, MN",27053,"82,312",118
"Camden County, NJ",34007,"80,127",119
"Weld County, CO",8123,"80,005",120
"Kings County, CA",6031,"79,862",121
"Lehigh County, PA",42077,"78,318",122
"Berks County, PA",42011,"77,946",123
"Bell County, TX",48027,"77,879",124
"Duval County, FL",12031,"77,771",125
"Santa Fe County, NM",35049,"75,265",126
"Tulsa County, OK",40143,"74,451",127
"Galveston County, TX",48167,"74,081",128
"Fulton County, GA",13121,"73,953",129
"Orange County, NY",36071,"72,877",130
"Snohomish County, WA",53061,"72,859",131
"Sedgwick County, KS",20173,"70,597",132
"District of Columbia, DC",11001,"69,106",133
"Pueblo County, CO",8101,"68,992",134
"Hays County, TX",48209,"68,832",135
"Cuyahoga County, OH",39035,"68,117",136
"Davidson County, TN",47037,"66,461",137
"Midland County, TX",48329,"65,856",138
"Pasco County, FL",12101,"65,569",139
"Yolo County, CA",6113,"65,448",140
"Monmouth County, NJ",34025,"65,243",141
"Douglas County, NE",31055,"65,203",142
"Kent County, MI",26081,"63,915",143
"Morris County, NJ",34027,"63,251",144
"DeKalb County, GA",13089,"63,173",145
"Volusia County, FL",12127,"62,994",146
"Utah County, UT",49049,"62,919",147
"Franklin County, OH",39049,"62,758",148
"Starr County, TX",48427,"62,352",149
"McLennan County, TX",48309,"61,161",150
"San Luis Obispo County, CA",6079,"61,095",151
"Mercer County, NJ",34021,"60,982",152
"Monroe County, NY",36055,"60,840",153
"Jefferson Parish, LA",22051,"60,284",154
"Jackson County, MO",29095,"59,377",155
"Shelby County, TN",47157,"55,763",156
"Manatee County, FL",12081,"55,380",157
"Rockland County, NY",36087,"54,700",158
"Guadalupe County, TX",48187,"54,412",159
"Maverick County, TX",48323,"54,242",160
"Hall County, GA",13139,"52,154",161
"Brevard County, FL",12009,"52,153",162
"Lancaster County, PA",42071,"52,083",163
"Ocean County, NJ",34029,"52,014",164
"New Castle County, DE",10003,"51,912",165
"St. Lucie County, FL",12111,"51,763",166
