county,code,households,rank
"Los Angeles County, CA",6037,"3,281,845",1
"Cook County, IL",17031,"1,951,606",2
"Harris County, TX",48201,"1,536,259",3
"Maricopa County, AZ",4013,"1,465,840",4
"San Diego County, CA",6073,"1,103,128",5
"Orange County, CA",6059,"1,017,012",6
"Kings County, NY",36047,"938,803",7
"Dallas County, TX",48113,"894,542",8
"Miami-Dade County, FL",12086,"853,624",9
"King County, WA",53033,"831,995",10
"Queens County, NY",36081,"779,304",11
"New York County, NY",36061,"753,385",12
"Clark County, NV",32003,"735,475",13
"Riverside County, CA",6065,"705,716",14
"Tarrant County, TX",48439,"682,967",15
"Broward County, FL",12011,"672,988",16
"Wayne County, MI",26163,"669,412",17
"Santa Clara County, CA",6085,"626,579",18
"Bexar County, TX",48029,"623,321",19
"San Bernardino County, CA",6071,"618,922",20
"Middlesex County, MA",25017,"587,735",21
"Philadelphia County, PA",42101,"582,594",22
"Alameda County, CA",6001,"564,293",23
"Palm Beach County, FL",12099,"538,549",24
"Cuyahoga County, OH",39035,"534,559",25
"Allegheny County, PA",42003,"531,075",26
"Sacramento County, CA",6067,"527,335",27
"Oakland County, MI",26125,"496,727",28
"Hillsborough County, FL",12057,"495,841",29
"Hennepin County, MN",27053,"493,832",30
"Bronx County, NY",36005,"490,740",31
"Suffolk County, NY",36103,"489,758",32
"Franklin County, OH",39049,"489,010",33
"Orange County, FL",12095,"444,852",34
"Nassau County, NY",36059,"440,230",35
"Travis County, TX",48453,"437,831",36
"Pinellas County, FL",12103,"405,788",37
"St. Louis County, MO",29189,"401,716",38
"Pima County, AZ",4019,"395,390",39
"Fairfax County, VA",51059,"393,358",40
"Contra Costa County, CA",6013,"387,540",41
"Mecklenburg County, NC",37119,"386,804",42
"Fulton County, GA",13121,"385,103",43
"Erie County, NY",36029,"382,822",44
"Milwaukee, WI",55079,"382,778",45
"Wake County, NC",37183,"373,245",46
"Montgomery County, MD",24031,"367,764",47
"Marion County, IN",18097,"365,472",48
"San Francisco County, CA",6075,"356,797",49
"Salt Lake County, UT",49035,"356,061",50
"Shelby County, TN",47157,"349,956",51
"Hartford County, CT",9003,"347,207",52
"Duval County, FL",12031,"341,906",53
"Westchester County, NY",36119,"341,762",54
"DuPage County, IL",17043,"338,987",55
"Macomb County, MI",26099,"338,893",56
"Bergen County, NJ",34003,"337,069",57
"Hamilton County, OH",39061,"335,334",58
"Fairfield County, CT",9001,"335,209",59
"New Haven County, CT",9009,"326,487",60
"Collin County, TX",48085,"314,918",61
"Multnomah County, OR",41051,"313,181",62
"Baltimore County, MD",24005,"312,826",63
"Jefferson County, KY",21111,"310,355",64
"Montgomery County, PA",42091,"309,884",65
"Honolulu County, HI",15003,"309,548",66
"Pierce County, WA",53053,"307,106",67
"Prince George's County, MD",24033,"306,711",68
"Worcester County, MA",25027,"302,794",69
"Monroe County, NY",36055,"300,289",70
"Suffolk County, MA",25025,"299,658",71
"Fresno County, CA",6019,"299,456",72
"Oklahoma County, OK",40109,"294,672",73
"Essex County, MA",25009,"288,291",74
"Middlesex County, NJ",34023,"283,279",75
"Denver County, CO",8031,"281,072",76
"Essex County, NJ",34013,"279,480",77
"Gwinnett County, GA",13135,"278,996",78
"Snohomish County, WA",53061,"278,626",79
"Jackson County, MO",29095,"276,857",80
"District of Columbia, DC",11001,"276,546",81
"Cobb County, GA",13067,"271,975",82
"DeKalb County, GA",13089,"270,903",83
"Ventura County, CA",6111,"269,338",84
"Davidson County, TN",47037,"269,078",85
"Denton County, TX",48121,"265,790",86
"Bernalillo County, NM",35001,"262,520",87
"Kern County, CA",6029,"262,337",88
"Jefferson County, AL",1073,"261,773",89
"El Paso County, TX",48141,"261,415",90
"San Mateo County, CA",6081,"261,010",91
"Norfolk County, MA",25021,"260,061",92
"Lee County, FL",12071,"258,084",93
"Hudson County, NJ",34017,"251,693",94
"El Paso County, CO",8041,"249,279",95
"Tulsa County, OK",40143,"248,811",96
"Lake County, IL",17097,"243,276",97
"Baltimore City County, MD",24510,"242,416",98
"Providence County, RI",44007,"237,459",99
"Kent County, MI",26081,"234,570",100
"Bucks County, PA",42017,"233,517",101
"Monmouth County, NJ",34025,"232,868",102
"Arapahoe County, CO",8005,"231,844",103
"Hidalgo County, TX",48215,"227,477",104
"Jefferson County, CO",8059,"225,320",105
"Will County, IL",17197,"224,959",106
"Brevard County, FL",12009,"224,373",107
"Polk County, FL",12105,"223,060",108
"Montgomery County, OH",39113,"222,677",109
"Ocean County, NJ",34029,"222,609",110
"Johnson County, KS",20091,"222,067",111
"Summit County, OH",39153,"221,887",112
"San Joaquin County, CA",6077,"221,707",113
"Fort Bend County, TX",48157,"214,126",114
"Dane, WI",55025,"213,519",115
"Bristol County, MA",25005,"212,933",116
"Douglas County, NE",31055,"210,931",117
"Washington County, OR",41067,"209,309",118
"Ramsey County, MN",27123,"207,327",119
"Volusia County, FL",12127,"205,310",120
"Anne Arundel County, MD",24003,"204,829",121
"Delaware County, PA",42045,"203,610",122
"New Castle County, DE",10003,"202,524",123
"Guilford County, NC",37081,"200,298",124
"Lancaster County, PA",42071,"196,171",125
"Sedgwick County, KS",20173,"193,927",126
"Spokane County, WA",53063,"191,222",127
"Pasco County, FL",12101,"189,292",128
"Sonoma County, CA",6097,"189,043",129
"Union County, NJ",34039,"186,890",130
"Chester County, PA",42029,"186,721",131
"Camden County, NJ",34007,"185,722",132
"Onondaga County, NY",36067,"184,925",133
"Lake County, IN",18089,"184,140",134
"Greenville County, SC",45045,"182,466",135
"Plymouth County, MA",25023,"182,252",136
"Knox County, TN",47093,"181,336",137
"Morris County, NJ",34027,"179,734",138
"Montgomery County, TX",48339,"179,587",139
"Polk County, IA",19153,"178,520",140
"Lucas County, OH",39095,"178,477",141
"Hampden County, MA",25013,"177,153",142
"Sarasota County, FL",12115,"175,576",143
"Kane County, IL",17089,"173,718",144
"Stanislaus County, CA",6099,"170,328",145
"Jefferson Parish, LA",22051,"169,192",146
"Washoe County, NV",32031,"169,015",147
"East Baton Rouge Parish, LA",22033,"168,561",148
"York County, PA",42133,"168,008",149
"Virginia Beach Independent City, VA",51810,"167,509",150
"Genesee County, MI",26049,"166,244",151
"Richmond County, NY",36085,"166,014",152
"Williamson County, TX",48491,"165,425",153
"Burlington County, NJ",34005,"164,623",154
"Clark County, WA",53011,"164,354",155
"Passaic County, NJ",34031,"161,534",156
"Ada County, ID",16001,"160,398",157
"Adams County, CO",8001,"158,748",158
"Dakota County, MN",27037,"157,696",159
"Seminole County, FL",12117,"156,216",160
"Hillsborough, NH",33011,"156,114",161
"Waukesha, WI",55133,"155,776",162
"Pulaski County, AR",5119,"155,440",163
"Orleans Parish, LA",22071,"154,844",164
"Mobile County, AL",1097,"154,261",165
"Berks County, PA",42011,"152,451",166
"Utah County, UT",49049,"151,342",167
"Clackamas County, OR",41005,"151,150",168
"Stark County, OH",39151,"151,101",169
"Charleston County, SC",45019,"150,921",170
"Westmoreland County, PA",42129,"150,697",171
"Richland County, SC",45079,"147,329",172
"Lane County, OR",41039,"146,692",173
"Solano County, CA",6095,"145,315",174
"Forsyth County, NC",37067,"144,898",175
"Santa Barbara County, CA",6083,"143,051",176
"Allen County, IN",18003,"141,483",177
"St. Charles County, MO",29183,"140,664",178
"St. Louis City County, MO",29510,"140,116",179
"Madison County, AL",1089,"139,949",180
"Washtenaw County, MI",26161,"138,672",181
"Prince William County, VA",51153,"138,102",182
"Hamilton County, TN",47065,"137,309",183
"Placer County, CA",6061,"136,730",184
"Manatee County, FL",12081,"135,990",185
"Lehigh County, PA",42077,"135,363",186
"Butler County, OH",39017,"135,100",187
"Tulare County, CA",6107,"134,153",188
"Collier County, FL",12021,"133,331",189
"Marion County, FL",12083,"132,277",190
"Pinal County, AZ",4021,"130,801",191
"Mercer County, NJ",34021,"130,129",192
"Nueces County, TX",48355,"128,133",193
"Luzerne County, PA",42079,"127,514",194
"Larimer County, CO",8069,"127,067",195
"Fayette County, KY",21067,"126,439",196
"Monterey County, CA",6053,"125,916",197
"Henrico County, VA",51087,"125,478",198
"Anoka County, MN",27003,"125,260",199
"Orange County, NY",36071,"125,144",200
"Albany County, NY",36001,"124,108",201
"Boulder County, CO",8013,"123,669",202
"Cumberland County, NC",37051,"123,178",203
"Horry County, SC",45051,"122,125",204
"Lake County, FL",12069,"122,036",205
"Cameron County, TX",48061,"121,290",206
"Lancaster County, NE",31109,"119,254",207
"Greene County, MO",29077,"119,141",208
"Chesterfield County, VA",51041,"118,908",209
"Durham County, NC",37063,"118,681",210
"Rockingham, NH",33015,"118,672",211
"Cumberland County, ME",23005,"117,871",212
"Lorain County, OH",39093,"117,609",213
"Loudoun County, VA",51107,"117,073",214
"Somerset County, NJ",34035,"116,456",215
"Escambia County, FL",12033,"115,984",216
"Galveston County, TX",48167,"115,685",217
"Marion County, OR",41047,"115,196",218
"Winnebago County, IL",17201,"114,299",219
"Brazoria County, TX",48039,"114,290",220
"Douglas County, CO",8035,"114,017",221
"Bell County, TX",48027,"113,027",222
"Northampton County, PA",42095,"112,819",223
"Spartanburg County, SC",45083,"111,462",224
"Hamilton County, IN",18057,"111,443",225
"Ingham County, MI",26065,"111,118",226
"Leon County, FL",12073,"111,111",227
"Dauphin County, PA",42043,"110,211",228
"McHenry County, IL",17111,"110,109",229
"Erie County, PA",42049,"110,047",230
"Howard County, MD",24027,"109,872",231
"Lubbock County, TX",48303,"109,024",232
"St. Lucie County, FL",12111,"108,796",233
"Lexington County, SC",45063,"107,527",234
"Madison County, IL",17119,"107,014",235
"Dutchess County, NY",36027,"106,949",236
"Chatham County, GA",13051,"106,749",237
"New London County, CT",9011,"106,170",238
"Anchorage Borough, AK",2020,"104,969",239
"Gloucester County, NJ",34015,"104,762",240
"San Luis Obispo County, CA",6079,"104,404",241
"Marin County, CA",6041,"104,400",242
"Rutherford County, TN",47149,"103,562",243
"Thurston County, WA",53067,"103,468",244
"St. Clair County, IL",17163,"102,672",245
"Buncombe County, NC",37021,"102,118",246
"Brown, WI",55009,"101,888",247
"Kalamazoo County, MI",26077,"101,589",248
"Cleveland County, OK",40027,"101,112",249
"Atlantic County, NJ",34001,"101,083",250
"St. Joseph County, IN",18141,"100,861",251
"Arlington County, VA",51013,"100,707",252
"Davis County, UT",49011,"99,495",253
"Rockland County, NY",36087,"99,038",254
"Kitsap County, WA",53035,"98,250",255
"Ottawa County, MI",26139,"97,687",256
"Caddo Parish, LA",22017,"97,497",257
"Mahoning County, OH",39099,"97,484",258
"Weld County, CO",8123,"96,616",259
"Cumberland County, PA",42041,"96,501",260
"Alachua County, FL",12001,"96,336",261
"Lake County, OH",39085,"95,249",262
"Santa Cruz County, CA",6087,"95,062",263
"Barnstable County, MA",25001,"94,351",264
"Jefferson County, TX",48245,"94,097",265
"Yavapai County, AZ",4025,"93,445",266
"Osceola County, FL",12097,"93,324",267
"Harford County, MD",24025,"92,497",268
"York County, SC",45091,"92,298",269
"Washington County, MN",27163,"91,282",270
"Saratoga County, NY",36091,"90,896",271
"Montgomery County, AL",1101,"90,281",272
"Oneida County, NY",36065,"90,260",273
"Clayton County, GA",13063,"90,182",274
"St. Tammany Parish, LA",22103,"89,893",275
"New Hanover County, NC",37129,"89,599",276
"Hinds County, MS",28049,"89,335",277
"Lafayette Parish, LA",22055,"89,288",278
"Frederick County, MD",24021,"88,995",279
"Richmond Independent City, VA",51760,"88,958",280
"Clay County, MO",29047,"88,389",281
"Benton County, AR",5007,"88,014",282
"Linn County, IA",19113,"88,006",283
"Niagara County, NY",36063,"87,638",284
"Norfolk Independent City, VA",51710,"87,367",285
"McLennan County, TX",48309,"87,185",286
"Trumbull County, OH",39155,"86,508",287
"Butte County, CA",6007,"85,505",288
"Lackawanna County, PA",42069,"85,174",289
"St. Louis County, MN",27137,"85,059",290
"Jackson County, OR",41029,"83,969",291
"Washington County, PA",42125,"83,745",292
"Washington County, AR",5143,"83,467",293
"Sussex County, DE",10005,"83,387",294
"Sangamon County, IL",17167,"82,952",295
"York County, ME",23031,"82,588",296
"Chesapeake Independent City, VA",51550,"82,573",297
"Jefferson County, MO",29099,"82,308",298
"Mohave County, AZ",4015,"82,145",299
"Kanawha County, WV",54039,"81,708",300
"St. Johns County, FL",12109,"81,308",301
"Whatcom County, WA",53073,"81,019",302
"Champaign County, IL",17019,"80,442",303
"Cherokee County, GA",13057,"80,378",304
"Yakima County, WA",53077,"80,196",305
"Weber County, UT",49057,"80,159",306
"Gaston County, NC",37071,"79,904",307
"Warren County, OH",39165,"79,466",308
"Broome County, NY",36007,"78,738",309
"Merced County, CA",6047,"78,270",310
"Smith County, TX",48423,"78,040",311
"Saginaw County, MI",26145,"77,928",312
"Harrison County, MS",28047,"76,660",313
"Calcasieu Parish, LA",22019,"76,270",314
"Okaloosa County, FL",12091,"76,140",315
"Shelby County, AL",1117,"75,942",316
"Brazos County, TX",48041,"75,797",317
"Peoria County, IL",17143,"75,406",318
"Racine, WI",55101,"75,291",319
"Clermont County, OH",39025,"75,236",320
"Baldwin County, AL",1003,"75,149",321
"Dona Ana County, NM",35013,"74,989",322
"Anderson County, SC",45007,"74,814",323
"Butler County, PA",42019,"74,762",324
"Litchfield County, CT",9005,"74,339",325
"Vanderburgh County, IN",18163,"74,313",326
"Muscogee County, GA",13215,"73,449",327
"Charlotte County, FL",12015,"73,299",328
"Yolo County, CA",6113,"72,544",329
"Richmond County, GA",13245,"72,470",330
"Union County, NC",37179,"72,304",331
"Minnehaha County, SD",46099,"71,569",332
"Outagamie, WI",55087,"71,194",333
"Webb County, TX",48479,"71,092",334
"Williamson County, TN",47187,"71,043",335
"Shawnee County, KS",20177,"71,015",336
"Henry County, GA",13151,"71,000",337
"Yuma County, AZ",4027,"70,924",338
"Hernando County, FL",12053,"70,918",339
"Cass County, ND",38017,"70,841",340
"Elkhart County, IN",18039,"70,822",341
"Clay County, FL",12019,"70,527",342
"Berkeley County, SC",45015,"70,482",343
"Tuscaloosa County, AL",1125,"70,440",344
"Beaver County, PA",42007,"69,921",345
"Livingston County, MI",26093,"69,763",346
"Shasta County, CA",6089,"69,713",347
"Ulster County, NY",36111,"69,335",348
"Newport News Independent City, VA",51700,"69,247",349
"Winnebago, WI",55139,"69,169",350
"Pitt County, NC",37147,"68,804",351
"Kent County, RI",44003,"68,661",352
