county,code,hs_rate,rank
"Blaine County, NE",31009,98.70%,1
"Gilpin County, CO",8047,98.00%,2
"Falls Church Independent City, VA",51610,98.00%,2
"Douglas County, CO",8035,97.90%,4
"Morgan County, UT",49029,97.90%,4
"Ouray County, CO",8091,97.80%,6
"Petroleum County, MT",30069,97.80%,6
"Grant County, NE",31075,97.40%,8
"Loup County, NE",31115,97.30%,9
"Los Alamos County, NM",35028,97.20%,10
"Clear Creek County, CO",8019,96.90%,11
"Gallatin County, MT",30031,96.80%,12
"Mineral County, CO",8079,96.60%,13
"Delaware County, OH",39041,96.60%,13
"Routt County, CO",8107,96.50%,15
"Skagway Borough, AK",2230,96.50%,15
"Garfield County, WA",53023,96.40%,17
"Elbert County, CO",8039,96.40%,17
"Story County, IA",19169,96.30%,19
"Ozaukee, WI",55089,96.30%,19
"Park County, CO",8093,96.30%,19
"Madison County, ID",16065,96.20%,22
"Denali Borough, AK",2068,96.20%,22
"Fallon County, MT",30025,96.20%,22
"Rich County, UT",49033,96.10%,25
"Broomfield County, CO",8014,96.10%,25
"Latah County, ID",16057,96.00%,27
"Hamilton County, IN",18057,96.00%,27
"Washington County, MN",27163,96.00%,27
"Banner County, NE",31007,96.00%,27
"Adams County, ND",38001,96.00%,27
"Waukesha, WI",55133,95.90%,32
"Whitman County, WA",53075,95.80%,33
"Albany County, WY",56001,95.80%,33
"St. Croix, WI",55109,95.80%,33
"Johnson County, KS",20091,95.80%,33
"Carver County, MN",27019,95.70%,37
"Grand County, CO",8049,95.70%,37
"Washington County, NE",31177,95.70%,37
"Brookings County, SD",46011,95.70%,37
"Larimer County, CO",8069,95.70%,37
"Dickinson County, IA",19059,95.60%,42
"McLean County, IL",17113,95.60%,42
"Cook County, MN",27031,95.60%,42
"Juneau Borough, AK",2110,95.60%,42
"Riley County, KS",20161,95.60%,42
"Williamson County, TN",47187,95.60%,42
"Warren County, IA",19181,95.60%,42
"Valley County, ID",16085,95.50%,49
"Dallas County, IA",19049,95.50%,49
"Davis County, UT",49011,95.50%,49
"Haines Borough, AK",2100,95.50%,49
"Frontier County, NE",31063,95.40%,53
"Mitchell County, KS",20123,95.40%,53
"Pitkin County, CO",8097,95.40%,53
"San Juan County, CO",8111,95.40%,53
"Monroe County, IL",17133,95.40%,53
"Barnstable County, MA",25001,95.40%,53
"Park County, MT",30067,95.40%,53
"Lake County, MN",27075,95.40%,53
"Sarpy County, NE",31153,95.40%,53
"Teton County, WY",56039,95.40%,53
"Pottawatomie County, KS",20149,95.40%,53
"Grundy County, IA",19075,95.40%,53
"Gunnison County, CO",8051,95.30%,65
"Sublette County, WY",56035,95.30%,65
"San Juan County, WA",53055,95.30%,65
"Howard County, MD",24027,95.30%,65
"Bremer County, IA",19017,95.30%,65
"Platte County, MO",29165,95.30%,65
"Thomas County, KS",20193,95.30%,65
"Dane, WI",55025,95.30%,65
"Piatt County, IL",17147,95.20%,73
"Lincoln County, SD",46083,95.10%,74
"Livingston County, MI",26093,95.10%,74
"Daggett County, UT",49009,95.10%,74
"Missoula County, MT",30063,95.00%,77
"Douglas County, KS",20045,95.00%,77
"Stillwater County, MT",30095,95.00%,77
"Benton County, OR",41003,95.00%,77
"Arthur County, NE",31005,95.00%,77
"Wheeler County, NE",31183,95.00%,77
"Kane County, UT",49025,95.00%,77
"Powder River County, MT",30075,94.90%,84
"Wayne County, NE",31179,94.90%,84
"Jefferson County, IA",19101,94.90%,84
"Jefferson County, MT",30043,94.90%,84
"Scott County, MN",27139,94.90%,84
"Johnson County, WY",56019,94.90%,84
"Lewis and Clark County, MT",30049,94.90%,84
"Hinsdale County, CO",8053,94.90%,84
"Judith Basin County, MT",30045,94.90%,84
"Leelanau County, MI",26089,94.80%,93
"Douglas County, MN",27041,94.80%,93
"Clay County, SD",46027,94.80%,93
"Daniels County, MT",30019,94.80%,93
"Boyd County, NE",31015,94.80%,93
"La Plata County, CO",8067,94.80%,93
"Poquoson Independent City, VA",51735,94.80%,93
"Rockingham, NH",33015,94.80%,93
"Pierce County, NE",31139,94.80%,93
"Island County, WA",53029,94.80%,93
"Johnson County, IA",19103,94.70%,103
"Cass County, NE",31025,94.70%,103
"Miami County, KS",20121,94.70%,103
"Pierce, WI",55093,94.70%,103
"Hunterdon County, NJ",34019,94.70%,103
"Williamsburg Independent City, VA",51830,94.70%,103
"Washtenaw County, MI",26161,94.70%,103
"Jackson County, KS",20085,94.70%,103
"Nantucket County, MA",25019,94.70%,103
"St. Johns County, FL",12109,94.70%,103
"Summit County, CO",8117,94.70%,103
"Dakota County, MN",27037,94.70%,103
"Champaign County, IL",17019,94.70%,103
"Linn County, IA",19113,94.60%,116
"Fayette County, GA",13113,94.60%,116
"Ada County, ID",16001,94.60%,116
"Cheyenne County, KS",20023,94.50%,119
"Flathead County, MT",30029,94.50%,119
"La Crosse, WI",55063,94.50%,119
"Marquette County, MI",26103,94.50%,119
"Madison County, MT",30057,94.50%,119
"Cumberland County, ME",23005,94.50%,119
"Jefferson County, WA",53031,94.50%,119
"Tompkins County, NY",36109,94.50%,119
"Bayfield, WI",55007,94.50%,119
"Lincoln County, KS",20105,94.50%,119
"Sagadahoc County, ME",23023,94.50%,119
"Cass County, ND",38017,94.50%,119
"Sherburne County, MN",27141,94.50%,119
"Boulder County, CO",8013,94.50%,119
"Yakutat Borough, AK",2282,94.50%,119
"Grand Traverse County, MI",26055,94.50%,119
"Winneshiek County, IA",19191,94.40%,135
"Boone County, IA",19015,94.40%,135
"Jewell County, KS",20089,94.40%,135
"Clay County, MN",27027,94.40%,135
"Fairbanks North Star Borough, AK",2090,94.40%,135
"Keweenaw County, MI",26083,94.40%,135
"Dawes County, NE",31045,94.40%,135
