county,code,labor_force,rank
"Los Angeles County, CA",6037,"5,123,933",1
"Cook County, IL",17031,"2,653,153",2
"Harris County, TX",48201,"2,268,944",3
"Maricopa County, AZ",4013,"2,134,987",4
"Orange County, CA",6059,"1,618,828",5
"San Diego County, CA",6073,"1,584,655",6
"Miami-Dade County, FL",12086,"1,384,224",7
"Dallas County, TX",48113,"1,333,933",8
"Kings County, NY",36047,"1,245,943",9
"King County, WA",53033,"1,230,208",10
"Queens County, NY",36081,"1,190,292",11
"Riverside County, CA",6065,"1,073,843",12
"Clark County, NV",32003,"1,072,593",13
"Santa Clara County, CA",6085,"1,040,558",14
"Tarrant County, TX",48439,"1,033,317",15
"Broward County, FL",12011,"1,026,330",16
"San Bernardino County, CA",6071,"950,765",17
"New York County, NY",36061,"939,689",18
"Bexar County, TX",48029,"924,590",19
"Middlesex County, MA",25017,"885,207",20
"Alameda County, CA",6001,"848,335",21
"Wayne County, MI",26163,"789,088",22
"Suffolk County, NY",36103,"782,689",23
"Orange County, FL",12095,"731,398",24
"Palm Beach County, FL",12099,"724,465",25
"Hillsborough County, FL",12057,"723,973",26
"Nassau County, NY",36059,"707,997",27
"Philadelphia County, PA",42101,"704,053",28
"Sacramento County, CA",6067,"702,049",29
"Travis County, TX",48453,"698,755",30
"Hennepin County, MN",27053,"698,457",31
"Franklin County, OH",39049,"680,584",32
"Oakland County, MI",26125,"662,752",33
"Allegheny County, PA",42003,"645,906",34
"Fairfax County, VA",51059,"629,698",35
"Salt Lake County, UT",49035,"621,759",36
"Bronx County, NY",36005,"621,649",37
"Cuyahoga County, OH",39035,"610,874",38
"Mecklenburg County, NC",37119,"601,998",39
"Wake County, NC",37183,"572,771",40
"San Francisco County, CA",6075,"568,722",41
"Contra Costa County, CA",6013,"563,863",42
"Montgomery County, MD",24031,"557,412",43
"Fulton County, GA",13121,"548,023",44
"St. Louis County, MO",29189,"527,507",45
"Collin County, TX",48085,"527,317",46
"DuPage County, IL",17043,"515,683",47
"Prince George's County, MD",24033,"511,766",48
"Pinellas County, FL",12103,"490,061",49
"Fairfield County, CT",9001,"485,357",50
"Westchester County, NY",36119,"484,107",51
"Duval County, FL",12031,"483,717",52
"Bergen County, NJ",34003,"483,324",53
"Gwinnett County, GA",13135,"482,878",54
"Marion County, IN",18097,"482,568",55
"Hartford County, CT",9003,"481,242",56
"Milwaukee, WI",55079,"478,333",57
"Pima County, AZ",4019,"475,622",58
"Honolulu County, HI",15003,"471,330",59
"Denton County, TX",48121,"464,581",60
"New Haven County, CT",9009,"462,382",61
"Multnomah County, OR",41051,"457,151",62
"Baltimore County, MD",24005,"453,197",63
"San Mateo County, CA",6081,"452,445",64
"Fresno County, CA",6019,"449,595",65
"Montgomery County, PA",42091,"448,710",66
"Erie County, NY",36029,"448,645",67
"Middlesex County, NJ",34023,"442,313",68
"Macomb County, MI",26099,"441,491",69
"Shelby County, TN",47157,"439,415",70
"Worcester County, MA",25027,"434,150",71
"Suffolk County, MA",25025,"433,072",72
"Ventura County, CA",6111,"426,116",73
"Cobb County, GA",13067,"423,398",74
"Snohomish County, WA",53061,"421,369",75
"Pierce County, WA",53053,"417,219",76
"Essex County, MA",25009,"414,548",77
"Hamilton County, OH",39061,"411,260",78
"District of Columbia, DC",11001,"400,894",79
"Denver County, CO",8031,"397,166",80
"DeKalb County, GA",13089,"394,688",81
"Jefferson County, KY",21111,"394,248",82
"Davidson County, TN",47037,"388,112",83
"Kern County, CA",6029,"384,944",84
"Oklahoma County, OK",40109,"378,076",85
"Norfolk County, MA",25021,"377,844",86
"Lake County, IL",17097,"370,972",87
"Essex County, NJ",34013,"370,503",88
"Fort Bend County, TX",48157,"369,788",89
"Monroe County, NY",36055,"364,394",90
"Jackson County, MO",29095,"363,854",91
"Hudson County, NJ",34017,"362,646",92
"Will County, IL",17197,"361,592",93
"Kent County, MI",26081,"355,111",94
"El Paso County, TX",48141,"353,387",95
"Arapahoe County, CO",8005,"351,417",96
"Hidalgo County, TX",48215,"341,602",97
"Bucks County, PA",42017,"341,433",98
"Lee County, FL",12071,"335,542",99
"Johnson County, KS",20091,"332,197",100
"Monmouth County, NJ",34025,"330,689",101
"El Paso County, CO",8041,"326,663",102
"Bernalillo County, NM",35001,"326,340",103
"Jefferson County, CO",8059,"325,390",104
"San Joaquin County, CA",6077,"324,788",105
"Providence County, RI",44007,"323,988",106
"Washington County, OR",41067,"323,022",107
"Dane, WI",55025,"322,336",108
"Tulsa County, OK",40143,"319,989",109
"Anne Arundel County, MD",24003,"309,214",110
"Jefferson County, AL",1073,"309,076",111
"New Castle County, DE",10003,"296,289",112
"Delaware County, PA",42045,"294,762",113
