county,code,median_age,rank
"Sumter County, FL",12119,66,1
"Mineral County, CO",8079,61.2,2
"Highland County, VA",51091,59.8,3
"Hooker County, NE",31091,59.5,4
"Wheeler County, OR",41069,59.2,5
"Loving County, TX",48301,58.2,6
"Catron County, NM",35003,58.1,7
"Harding County, NM",35021,58,8
"Charlotte County, FL",12015,57.7,9
"Alcona County, MI",26001,57.4,10
"Custer County, CO",8027,56.8,11
"Ontonagon County, MI",26131,56.6,12
"Kalawao County, HI",15005,56.5,13
"Llano County, TX",48299,56.4,14
"Lancaster County, VA",51103,56.4,14
"Hinsdale County, CO",8053,56.4,14
"Jefferson County, WA",53031,56.2,17
"Sierra County, NM",35051,56,18
"Citrus County, FL",12017,55.7,19
"Real County, TX",48385,55.5,20
"Northumberland County, VA",51133,55.5,20
"Sierra County, CA",6091,55.2,22
"Keweenaw County, MI",26083,55.1,23
"Curry County, OR",41015,55.1,23
"San Juan County, WA",53055,55.1,23
"La Paz County, AZ",4012,55.1,23
"Montmorency County, MI",26119,55,27
"Roscommon County, MI",26143,54.9,28
"Golden Valley County, MT",30037,54.6,29
"Sarasota County, FL",12115,54.5,30
"Kimble County, TX",48267,54.5,30
"Huerfano County, CO",8055,54.5,30
"Storey County, NV",32029,54.4,33
"Hickory County, MO",29085,54.2,34
"Presque Isle County, MI",26141,53.9,35
"Union County, GA",13291,53.6,36
"Aitkin County, MN",27001,53.6,36
"Grant County, ND",38037,53.6,36
"Iron County, MI",26071,53.5,39
"Granite County, MT",30039,53.5,39
"Hamilton County, NY",36041,53.5,39
"Potter County, SD",46107,53.5,39
"Leelanau County, MI",26089,53.3,43
"Ouray County, CO",8091,53.3,43
"Custer County, SD",46033,53.2,45
"Iron, WI",55051,53.2,45
"Boise County, ID",16015,53.1,47
"Jones County, SD",46075,53.1,47
"Middlesex County, VA",51119,53.1,47
"Wahkiakum County, WA",53069,53.1,47
"Towns County, GA",13281,53,51
"Benton County, MO",29015,52.9,52
"Vilas, WI",55125,52.9,52
"Madison County, MT",30057,52.7,54
"Wallowa County, OR",41063,52.7,54
"Highlands County, FL",12055,52.6,56
"Lemhi County, ID",16059,52.6,56
"Logan County, ND",38047,52.6,56
"McIntosh County, ND",38051,52.6,56
"Nelson County, ND",38063,52.6,56
"Fall River County, SD",46047,52.6,56
"Keya Paha County, NE",31103,52.5,62
"Mineral County, MT",30061,52.4,63
"Rock County, NE",31149,52.4,63
"Grant County, OR",41023,52.4,63
"Sullivan County, PA",42113,52.4,63
"McCormick County, SC",45065,52.4,63
"McPherson County, SD",46089,52.3,68
"Pacific County, WA",53049,52.2,69
"Adams, WI",55001,52.2,69
"Door, WI",55029,52.2,69
"Custer County, ID",16037,52.1,72
"Decatur County, KS",20039,52.1,72
"Iosco County, MI",26069,52.1,72
"Stone County, MO",29209,52.1,72
"Slope County, ND",38087,52.1,72
"Florence, WI",55037,52.1,72
"Judith Basin County, MT",30045,52,78
"Powder River County, MT",30075,52,78
"Sanders County, MT",30089,51.9,80
"Griggs County, ND",38039,51.9,80
"Jeff Davis County, TX",48243,51.9,80
"Yavapai County, AZ",4025,51.9,80
"Barnstable County, MA",25001,51.8,84
"Lake County, MI",26085,51.8,84
"Cook County, MN",27031,51.8,84
"Wells County, ND",38103,51.8,84
"Baxter County, AR",5005,51.8,84
"Adams County, ID",16003,51.7,89
"Mackinac County, MI",26097,51.7,89
"Plumas County, CA",6063,51.7,89
"Oscoda County, MI",26135,51.6,92
"Burnett, WI",55013,51.6,92
"Mathews County, VA",51115,51.5,94
"Marion County, AR",5089,51.5,94
"Indian River County, FL",12061,51.4,96
"Lincoln County, MT",30053,51.4,96
"Boyd County, NE",31015,51.4,96
"Hot Springs County, WY",56017,51.4,96
"Polk County, NC",37149,51.3,100
"Sheridan County, ND",38083,51.3,100
"Bandera County, TX",48019,51.3,100
"Throckmorton County, TX",48447,51.3,100
"Price, WI",55099,51.3,100
"Jewell County, KS",20089,51.2,105
"Smith County, KS",20183,51.2,105
"Prairie County, MT",30079,51.2,105
"Nye County, NV",32023,51.2,105
"Bayfield, WI",55007,51.2,105
"Calaveras County, CA",6009,51.2,105
"Jackson County, CO",8057,51.2,105
"Martin County, FL",12085,51.1,112
"Emmons County, ND",38029,51.1,112
"Ozark County, MO",29153,51,114
"Carter County, MT",30011,51,114
"Wibaux County, MT",30109,51,114
"Garfield County, NE",31071,51,114
"Loup County, NE",31115,51,114
"Republic County, KS",20157,50.9,119
"Grant County, NE",31075,50.9,119
"Carroll, NH",33003,50.9,119
"Lincoln County, NM",35027,50.9,119
"Brunswick County, NC",37019,50.9,119
"Elk County, KS",20049,50.8,124
"Lake of the Woods County, MN",27077,50.8,124
"Clay County, NC",37043,50.8,124
"Lincoln County, OR",41041,50.7,127
"Aransas County, TX",48007,50.7,127
"Pope County, IL",17151,50.6,129
"Sabine County, TX",48403,50.6,129
"Mariposa County, CA",6043,50.6,129
"Trinity County, CA",6105,50.6,129
"Costilla County, CO",8023,50.5,133
"Trego County, KS",20195,50.4,134
"Schoolcraft County, MI",26153,50.4,134
"Lake County, MN",27075,50.4,134
