county,code,per_cap_income,rank
"Teton County, WY",56039,"$199,635 ",1
"Shackelford County, TX",48417,"$162,378 ",2
"New York County, NY",36061,"$156,048 ",3
"Pitkin County, CO",8097,"$128,738 ",4
"Marin County, CA",6041,"$115,952 ",5
"Wheeler County, NE",31183,"$113,939 ",6
"San Francisco County, CA",6075,"$110,418 ",7
"Summit County, UT",49043,"$108,675 ",8
"Nantucket County, MA",25019,"$108,443 ",9
"Fairfield County, CT",9001,"$106,666 ",10
"San Mateo County, CA",6081,"$105,721 ",11
"Midland County, TX",48329,"$105,486 ",12
"McMullen County, TX",48311,"$104,531 ",13
"Union County, SD",46127,"$98,329 ",14
"Westchester County, NY",36119,"$94,140 ",15
"Blaine County, ID",16013,"$92,495 ",16
"Glasscock County, TX",48173,"$91,765 ",17
"Williamson County, TN",47187,"$90,979 ",18
"Somerset County, NJ",34035,"$90,268 ",19
"Morris County, NJ",34027,"$89,065 ",20
"Santa Clara County, CA",6085,"$88,920 ",21
"Arlington County, VA",51013,"$87,986 ",22
"Goochland County, VA",51075,"$87,084 ",23
"Collier County, FL",12021,"$84,101 ",24
"Alexandria Independent City, VA",51510,"$83,167 ",25
"Hunterdon County, NJ",34019,"$82,109 ",26
"Norfolk County, MA",25021,"$81,948 ",27
"Dukes County, MA",25007,"$81,932 ",28
"Montgomery County, MD",24031,"$80,967 ",29
"Alpine County, CA",6003,"$80,810 ",30
"Nassau County, NY",36059,"$79,314 ",31
"Billings County, ND",38007,"$78,609 ",32
"Skagway Borough, AK",2230,"$77,977 ",33
"Williams County, ND",38105,"$77,847 ",34
"King County, WA",53033,"$77,213 ",35
"Bergen County, NJ",34003,"$77,187 ",36
"Kendall County, TX",48259,"$77,002 ",37
"Turner County, SD",46125,"$76,806 ",38
"Benton County, AR",5007,"$76,554 ",39
"Lane County, KS",20101,"$76,238 ",40
"Kearney County, NE",31099,"$76,225 ",41
"Potter County, SD",46107,"$76,181 ",42
"District of Columbia, DC",11001,"$76,108 ",43
"Fairfax County, VA",51059,"$75,978 ",44
"San Miguel County, CO",8113,"$75,876 ",45
"Middlesex County, MA",25017,"$75,869 ",46
"Chester County, PA",42029,"$75,281 ",47
"Wichita County, KS",20203,"$75,038 ",48
"Monroe County, FL",12087,"$74,230 ",49
"Fulton County, GA",13121,"$74,095 ",50
"Ozaukee, WI",55089,"$73,944 ",51
"Hemphill County, TX",48211,"$73,671 ",52
"Martin County, FL",12085,"$73,296 ",53
"Broomfield County, CO",8014,"$73,129 ",54
"Lake County, IL",17097,"$72,956 ",55
"Montgomery County, PA",42091,"$72,780 ",56
"Gray County, KS",20069,"$72,762 ",57
"Stark County, ND",38089,"$72,605 ",58
"Palm Beach County, FL",12099,"$71,946 ",59
"Howard County, MD",24027,"$71,869 ",60
"Monmouth County, NJ",34025,"$71,237 ",61
"Loudoun County, VA",51107,"$71,218 ",62
"Routt County, CO",8107,"$71,167 ",63
"Contra Costa County, CA",6013,"$70,840 ",64
"Keya Paha County, NE",31103,"$70,751 ",65
"Bristol County, RI",44001,"$70,504 ",66
"Cuming County, NE",31039,"$70,495 ",67
"Dunn County, ND",38025,"$69,651 ",68
"Denali Borough, AK",2068,"$69,535 ",69
"San Juan County, WA",53055,"$69,155 ",70
"Natrona County, WY",56025,"$69,087 ",71
"Suffolk County, MA",25025,"$68,598 ",72
"Indian River County, FL",12061,"$68,491 ",73
"Hennepin County, MN",27053,"$67,427 ",74
"Denver County, CO",8031,"$67,256 ",75
"Hamilton County, IN",18057,"$67,191 ",76
"Douglas County, CO",8035,"$67,139 ",77
"Talbot County, MD",24041,"$66,971 ",78
"Burke County, ND",38013,"$66,712 ",79
"Delaware County, OH",39041,"$66,532 ",80
"DuPage County, IL",17043,"$66,072 ",81
"Johnson County, KS",20091,"$66,063 ",82
"Bucks County, PA",42017,"$65,895 ",83
"Alameda County, CA",6001,"$65,884 ",84
"Napa County, CA",6055,"$65,805 ",85
"Steele County, ND",38091,"$65,780 ",86
"Barnstable County, MA",25001,"$65,770 ",87
"Oakland County, MI",26125,"$65,759 ",88
"Boone County, IN",18011,"$65,716 ",89
"Waukesha, WI",55133,"$65,522 ",90
"Douglas County, NV",32005,"$65,495 ",91
"Los Alamos County, NM",35028,"$65,494 ",92
"Sargent County, ND",38081,"$65,443 ",93
"Rockingham, NH",33015,"$65,396 ",94
"Dundy County, NE",31057,"$64,873 ",95
"Eagle County, CO",8037,"$64,581 ",96
"Carver County, MN",27019,"$64,473 ",97
"Rock County, NE",31149,"$64,463 ",98
"Hansford County, TX",48195,"$64,374 ",99
"McKenzie County, ND",38053,"$64,369 ",100
"Bristol Bay Borough, AK",2060,"$64,069 ",101
"Irion County, TX",48235,"$63,937 ",102
"Cavalier County, ND",38019,"$63,889 ",103
"Fauquier County, VA",51061,"$63,854 ",104
"Boulder County, CO",8013,"$63,707 ",105
"Grant County, SD",46051,"$63,632 ",106
"Haskell County, KS",20081,"$63,496 ",107
"Mercer County, NJ",34021,"$63,237 ",108
"Ketchikan Gateway Borough, AK",2130,"$63,222 ",109
"Lincoln County, SD",46083,"$63,203 ",110
"Juneau Borough, AK",2110,"$63,070 ",111
"Sioux County, NE",31165,"$62,909 ",112
"Scott County, KS",20171,"$62,849 ",113
"Middlesex County, CT",9007,"$62,833 ",114
"St. Louis County, MO",29189,"$62,777 ",115
"Petersburg Borough, AK",2195,"$62,773 ",116
"Sitka Borough, AK",2220,"$62,537 ",117
"Stanley County, SD",46117,"$62,522 ",118
"Mineral County, CO",8079,"$62,466 ",119
"Anne Arundel County, MD",24003,"$62,404 ",120
"Anchorage Borough, AK",2020,"$62,317 ",121
"Saratoga County, NY",36091,"$62,295 ",122
"Orange County, CA",6059,"$62,071 ",123
"Foster County, ND",38031,"$61,917 ",124
"Meade County, KS",20119,"$61,880 ",125
"Mountrail County, ND",38061,"$61,809 ",126
"Union County, NJ",34039,"$61,808 ",127
"Geauga County, OH",39055,"$61,456 ",128
"Essex County, MA",25009,"$61,442 ",129
"St. Johns County, FL",12109,"$61,423 ",130
"Newport County, RI",44005,"$61,367 ",131
"Valdez-Cordova Borough, AK",2261,"$61,337 ",132
"Banner County, NE",31007,"$61,317 ",133
"El Dorado County, CA",6017,"$61,206 ",134
"Collin County, TX",48085,"$61,179 ",135
"Dallas County, IA",19049,"$61,159 ",136
"Albemarle County, VA",51003,"$60,964 ",137
"Essex County, NJ",34013,"$60,887 ",138
"Suffolk County, NY",36103,"$60,856 ",139
"Hayes County, NE",31085,"$60,719 ",140
"Plymouth County, MA",25023,"$60,691 ",141
"Hanson County, SD",46061,"$60,596 ",142
"LaMoure County, ND",38045,"$60,586 ",143
"Adams County, IA",19003,"$60,450 ",144
"Placer County, CA",6061,"$60,360 ",145
"Aleutians East Borough, AK",2013,"$60,284 ",146
"Hancock County, OH",39063,"$60,143 ",147
"Cimarron County, OK",40025,"$60,101 ",148
"Leelanau County, MI",26089,"$59,943 ",149
"Hartford County, CT",9003,"$59,869 ",150
"Washington County, MN",27163,"$59,749 ",151
"Putnam County, NY",36079,"$59,693 ",152
"James City County, VA",51095,"$59,632 ",153
"Delaware County, PA",42045,"$59,594 ",154
"Litchfield County, CT",9005,"$59,568 ",155
"Phelps County, NE",31137,"$59,553 ",156
"Boone County, NE",31011,"$59,530 ",157
"Santa Cruz County, CA",6087,"$59,455 ",158
"Loup County, NE",31115,"$59,289 ",159
"Ochiltree County, TX",48357,"$59,176 ",160
"Clarke County, VA",51043,"$59,162 ",161
"Douglas County, NE",31055,"$59,061 ",162
"Slope County, ND",38087,"$59,048 ",163
"Sarasota County, FL",12115,"$59,013 ",164
"Henrico County, VA",51087,"$58,876 ",165
"Kodiak Island Borough, AK",2150,"$58,843 ",166
"Oconee County, GA",13219,"$58,811 ",167
"New Kent County, VA",51127,"$58,802 ",168
"Washington County, RI",44009,"$58,801 ",169
"Fillmore County, NE",31059,"$58,725 ",170
"Travis County, TX",48453,"$58,700 ",171
"Orange County, NC",37135,"$58,438 ",172
"Summit County, CO",8117,"$58,386 ",173
"Forsyth County, GA",13117,"$58,369 ",174
"Davidson County, TN",47037,"$58,283 ",175
"Cottle County, TX",48101,"$58,009 ",176
"Queen Anne's County, MD",24035,"$57,948 ",177
"Mercer County, ND",38057,"$57,946 ",178
"Madison County, MS",28089,"$57,932 ",179
"Kittson County, MN",27069,"$57,735 ",180
"Calvert County, MD",24009,"$57,688 ",181
"Carroll County, MD",24013,"$57,687 ",182
"McLean County, ND",38055,"$57,686 ",183
"Tulsa County, OK",40143,"$57,286 ",184
"Griggs County, ND",38039,"$57,131 ",185
"Dickey County, ND",38021,"$57,092 ",186
"Albany County, NY",36001,"$56,948 ",187
"Sully County, SD",46119,"$56,833 ",188
"Burlington County, NJ",34005,"$56,812 ",189
"Cherokee County, IA",19035,"$56,784 ",190
"Fayette County, GA",13113,"$56,759 ",191
"Worcester County, MD",24047,"$56,747 ",192
"Montgomery County, TX",48339,"$56,730 ",193
"Cook County, IL",17031,"$56,669 ",194
"Rappahannock County, VA",51157,"$56,573 ",195
