county,code,population,rank
"Los Angeles County, CA",6037,"10,163,507",1
"Cook County, IL",17031,"5,211,263",2
"Harris County, TX",48201,"4,652,980",3
"Maricopa County, AZ",4013,"4,307,033",4
"San Diego County, CA",6073,"3,337,685",5
"Orange County, CA",6059,"3,190,400",6
"Miami-Dade County, FL",12086,"2,751,796",7
"Kings County, NY",36047,"2,648,771",8
"Dallas County, TX",48113,"2,618,148",9
"Riverside County, CA",6065,"2,423,266",10
"Queens County, NY",36081,"2,358,582",11
"Clark County, NV",32003,"2,204,079",12
"King County, WA",53033,"2,188,649",13
"San Bernardino County, CA",6071,"2,157,404",14
"Tarrant County, TX",48439,"2,054,475",15
"Bexar County, TX",48029,"1,958,578",16
"Santa Clara County, CA",6085,"1,938,153",17
"Broward County, FL",12011,"1,935,878",18
"Wayne County, MI",26163,"1,753,616",19
"New York County, NY",36061,"1,664,727",20
"Alameda County, CA",6001,"1,663,190",21
"Middlesex County, MA",25017,"1,602,947",22
"Philadelphia County, PA",42101,"1,580,863",23
"Sacramento County, CA",6067,"1,530,615",24
"Suffolk County, NY",36103,"1,492,953",25
"Bronx County, NY",36005,"1,471,160",26
"Palm Beach County, FL",12099,"1,471,150",27
"Hillsborough County, FL",12057,"1,408,566",28
"Nassau County, NY",36059,"1,369,514",29
"Orange County, FL",12095,"1,348,975",30
"Franklin County, OH",39049,"1,291,981",31
"Hennepin County, MN",27053,"1,252,024",32
"Oakland County, MI",26125,"1,250,836",33
"Cuyahoga County, OH",39035,"1,248,514",34
"Travis County, TX",48453,"1,226,698",35
"Allegheny County, PA",42003,"1,223,048",36
"Fairfax, Fairfax City + Falls Church, VA",51919,"1,187,113",37
"Contra Costa County, CA",6013,"1,147,439",38
"Salt Lake County, UT",49035,"1,135,649",39
"Mecklenburg County, NC",37119,"1,076,837",40
"Wake County, NC",37183,"1,072,203",41
"Montgomery County, MD",24031,"1,058,810",42
"Fulton County, GA",13121,"1,041,423",43
"Pima County, AZ",4019,"1,022,769",44
"St. Louis County, MO",29189,"996,726",45
"Fresno County, CA",6019,"989,255",46
"Honolulu County, HI",15003,"988,650",47
"Westchester County, NY",36119,"980,244",48
"Pinellas County, FL",12103,"970,637",49
"Collin County, TX",48085,"969,603",50
"Milwaukee, WI",55079,"952,085",51
"Marion County, IN",18097,"950,082",52
"Fairfield County, CT",9001,"949,921",53
"Bergen County, NJ",34003,"948,406",54
"Duval County, FL",12031,"937,934",55
"Shelby County, TN",47157,"936,961",56
"DuPage County, IL",17043,"930,128",57
"Erie County, NY",36029,"925,528",58
"Gwinnett County, GA",13135,"920,260",59
"Prince George's County, MD",24033,"912,756",60
"Hartford County, CT",9003,"895,388",61
"Kern County, CA",6029,"893,119",62
"San Francisco County, CA",6075,"884,363",63
"Pierce County, WA",53053,"876,764",64
"Macomb County, MI",26099,"871,375",65
"Hidalgo County, TX",48215,"860,661",66
"New Haven County, CT",9009,"860,435",67
"Ventura County, CA",6111,"854,223",68
"Middlesex County, NJ",34023,"842,798",69
"El Paso County, TX",48141,"840,410",70
"Denton County, TX",48121,"836,210",71
"Baltimore County, MD",24005,"832,468",72
"Worcester County, MA",25027,"826,116",73
"Montgomery County, PA",42091,"826,075",74
"Hamilton County, OH",39061,"813,822",75
"Essex County, NJ",34013,"808,285",76
"Multnomah County, OR",41051,"807,555",77
"Snohomish County, WA",53061,"801,633",78
"Suffolk County, MA",25025,"797,939",79
"Oklahoma County, OK",40109,"787,958",80
"Essex County, MA",25009,"785,205",81
"San Mateo County, CA",6081,"771,410",82
"Jefferson County, KY",21111,"771,158",83
"Fort Bend County, TX",48157,"764,828",84
"Cobb County, GA",13067,"755,754",85
"DeKalb County, GA",13089,"753,253",86
"Monroe County, NY",36055,"747,642",87
"San Joaquin County, CA",6077,"745,424",88
"Lee County, FL",12071,"739,224",89
"Denver County, CO",8031,"704,621",90
"Lake County, IL",17097,"703,520",91
"Norfolk County, MA",25021,"700,322",92
"El Paso County, CO",8041,"699,232",93
"Jackson County, MO",29095,"698,895",94
"District of Columbia, DC",11001,"693,972",95
"Will County, IL",17197,"692,661",96
"Hudson County, NJ",34017,"691,643",97
"Davidson County, TN",47037,"691,243",98
"Polk County, FL",12105,"686,483",99
"Bernalillo County, NM",35001,"676,773",100
"Jefferson County, AL",1073,"659,197",101
"Kent County, MI",26081,"648,594",102
"Tulsa County, OK",40143,"646,266",103
"Arapahoe County, CO",8005,"643,052",104
"Providence County, RI",44007,"637,357",105
"Bucks County, PA",42017,"628,341",106
"Monmouth County, NJ",34025,"626,351",107
"Baltimore City County, MD",24510,"611,648",108
"Utah County, UT",49049,"606,425",109
"Ocean County, NJ",34029,"597,943",110
"Johnson County, KS",20091,"591,178",111
"Brevard County, FL",12009,"589,162",112
"Washington County, OR",41067,"588,957",113
"Jefferson County, CO",8059,"574,613",114
"Anne Arundel County, MD",24003,"573,235",115
"Montgomery County, TX",48339,"570,934",116
"Delaware County, PA",42045,"564,696",117
"Union County, NJ",34039,"563,892",118
"Douglas County, NE",31055,"561,620",119
"Bristol County, MA",25005,"561,483",120
"New Castle County, DE",10003,"559,793",121
"Ramsey County, MN",27123,"547,974",122
"Stanislaus County, CA",6099,"547,899",123
"Williamson County, TX",48491,"547,545",124
"Lancaster County, PA",42071,"542,903",125
"Summit County, OH",39153,"541,228",126
"Volusia County, FL",12127,"538,692",127
"Dane, WI",55025,"536,416",128
"Kane County, IL",17089,"534,667",129
"Montgomery County, OH",39113,"531,542",130
"Guilford County, NC",37081,"526,953",131
"Pasco County, FL",12101,"525,643",132
"Prince William, Manassas + Manassas Park, VA",51942,"521,115",133
"Chester County, PA",42029,"519,293",134
"Plymouth County, MA",25023,"515,142",135
"Sedgwick County, KS",20173,"513,687",136
"Passaic County, NJ",34031,"512,607",137
"Camden County, NJ",34007,"510,719",138
"Greenville County, SC",45045,"506,837",139
"Spokane County, WA",53063,"506,152",140
"Sonoma County, CA",6097,"504,217",141
"Adams County, CO",8001,"503,167",142
"Morris County, NJ",34027,"499,693",143
"Lake County, IN",18089,"485,640",144
"Polk County, IA",19153,"481,830",145
"Richmond County, NY",36085,"479,458",146
"Clark County, WA",53011,"474,643",147
"Hampden County, MA",25013,"469,818",148
"Onondaga County, NY",36067,"465,398",149
"Tulare County, CA",6107,"464,493",150
"Seminole County, FL",12117,"462,659",151
"Knox County, TN",47093,"461,860",152
"Washoe County, NV",32031,"460,587",153
"Ada County, ID",16001,"456,849",154
"Virginia Beach Independent City, VA",51810,"450,435",155
"Burlington County, NJ",34005,"448,596",156
"Santa Barbara County, CA",6083,"448,150",157
