county,code,poverty_rate,rank
"Todd County, SD",46121,48.6,1
"Crowley County, CO",8025,48,2
"Owsley County, KY",21189,45.2,3
"Ziebach County, SD",46137,43.7,4
"East Carroll Parish, LA",22035,43.5,5
"Lake County, TN",47095,42.7,6
"Holmes County, MS",28051,42.5,7
"Clay County, KY",21051,42.1,8
"Madison Parish, LA",22065,41.3,9
"Coahoma County, MS",28027,41.2,10
"Oglala Lakota, SD",46102,40.7,11
"Issaquena County, MS",28055,40.5,12
"Starr County, TX",48427,39.9,13
"Buffalo County, SD",46017,39.5,14
"McCreary County, KY",21147,39.3,15
"Martin County, KY",21159,39.3,15
"Stewart County, GA",13259,39.2,17
"Knox County, KY",21121,39.2,17
"Wheeler County, GA",13309,39.1,19
"Corson County, SD",46031,39.1,19
"Lee County, KY",21129,39,21
"Humphreys County, MS",28053,38.9,22
"Bell County, KY",21013,38.7,23
"Willacy County, TX",48489,38.3,24
"Knott County, KY",21119,38.2,25
"Claiborne County, MS",28021,38.2,25
"Allendale County, SC",45005,38.2,25
"Tallahatchie County, MS",28135,37.2,29
"Harlan County, KY",21095,37.1,30
"McDowell County, WV",54047,36.3,31
"Lee County, AR",5077,35.9,32
"Leflore County, MS",28083,35.6,33
"Dallas County, AL",1047,35.4,34
"Bolivar County, MS",28011,35.3,35
"Sioux County, ND",38085,35.3,35
"Clay County, GA",13061,35.2,37
"Sunflower County, MS",28133,35.1,38
"Wilkinson County, MS",28157,35.1,38
"Perry County, AL",1105,35,40
"Sharkey County, MS",28125,35,40
"Claiborne Parish, LA",22027,34.9,42
"Yazoo County, MS",28163,34.8,43
"McKinley County, NM",35031,34.4,44
"Zavala County, TX",48507,34.4,44
"Breathitt County, KY",21025,34.3,46
"Quitman County, MS",28119,34.3,46
"Jenkins County, GA",13165,34.2,48
"Washington County, MS",28151,34.2,48
"Bent County, CO",8011,34.1,50
"Greene County, AL",1063,34,51
"Bennett County, SD",46007,33.8,52
"Jefferson County, MS",28063,33.7,53
"Hancock County, GA",13141,33.5,54
"Apache County, AZ",4001,33.2,55
"Calhoun County, GA",13037,33,56
"Mellette County, SD",46095,33,56
"Bullock County, AL",1011,32.6,58
"Sumter County, AL",1119,32.4,59
"Phillips County, AR",5107,32.3,60
"Wolfe County, KY",21237,32.2,61
"Brooks County, TX",48047,32.2,61
"Macon County, GA",13193,32.1,63
"Wilcox County, AL",1131,31.9,64
"Madison County, FL",12079,31.9,64
"Jackson County, KY",21109,31.9,64
"Magoffin County, KY",21153,31.9,64
"Natchitoches Parish, LA",22069,31.9,64
"Leslie County, KY",21131,31.8,69
"Webb County, TX",48479,31.8,69
"Lowndes County, AL",1085,31.7,71
"St. Francis County, AR",5123,31.6,72
"Letcher County, KY",21133,31.6,72
"Tensas Parish, LA",22107,31.6,72
"Noxubee County, MS",28103,31.6,72
"Early County, GA",13099,31.4,76
"Pike County, KY",21195,31.4,76
"Adams County, MS",28001,31.4,76
"Tunica County, MS",28143,31.3,79
"Hidalgo County, TX",48215,31.2,80
"Terrell County, GA",13273,31.1,81
"Wilcox County, GA",13315,31,82
"San Juan County, UT",49037,31,82
"Perry County, KY",21193,30.9,84
"Pemiscot County, MO",29155,30.9,84
"Hancock County, TN",47067,30.9,84
"Telfair County, GA",13271,30.8,87
"Elliott County, KY",21063,30.7,88
"Jackson County, SD",46071,30.7,88
"Dougherty County, GA",13095,30.5,90
"Randolph County, GA",13243,30.5,90
"Costilla County, CO",8023,30.4,92
"Turner County, GA",13287,30.4,92
"Floyd County, KY",21071,30.4,92
"Crisp County, GA",13081,30.3,95
"Lincoln Parish, LA",22061,30.2,96
"Chicot County, AR",5017,30.1,97
"Pike County, MS",28113,30.1,97
"Macon County, AL",1087,30,99
"Fulton County, KY",21075,30,99
"Garza County, TX",48169,30,99
"Webster County, WV",54101,30,99
"Barbour County, AL",1005,29.9,103
"Decatur County, GA",13087,29.9,103
"Mitchell County, GA",13205,29.9,103
"Texas County, MO",29215,29.9,103
"Lee County, VA",51105,29.9,103
"Tattnall County, GA",13267,29.8,108
"Williamsburg County, SC",45089,29.8,108
"Johnson County, GA",13167,29.4,110
"Evangeline Parish, LA",22039,29.4,110
"Benson County, ND",38005,29.4,110
"Whitley County, KY",21235,29.3,113
"Franklin Parish, LA",22041,29.2,114
"Cameron County, TX",48061,29.1,115
"Zapata County, TX",48505,29.1,115
"Clarke County, AL",1025,29,117
"Alexander County, IL",17003,29,117
"Adair County, OK",40001,29,117
"Clay County, WV",54015,29,117
"Hamilton County, FL",12047,28.9,121
"Sumter County, GA",13261,28.9,121
"Taliaferro County, GA",13265,28.8,123
"Athens County, OH",39009,28.8,123
"Morehouse Parish, LA",22067,28.7,125
"DeSoto County, FL",12027,28.6,126
"Bronx County, NY",36005,28.6,126
"Dooly County, GA",13093,28.5,128
"Concordia Parish, LA",22029,28.5,128
"Mississippi County, MO",29133,28.4,130
"Bamberg County, SC",45009,28.4,130
"Harrisonburg Independent City, VA",51660,28.4,130
"Kemper County, MS",28069,28.3,133
"Oktibbeha County, MS",28105,28.3,133
"Glacier County, MT",30035,28.3,133
"Navajo County, AZ",4017,28.2,136
"Warren County, GA",13301,28.2,136
"Mingo County, WV",54059,28.2,136
"Conecuh County, AL",1035,28.1,139
"Marlboro County, SC",45069,28.1,139
