county,code,white_pop,rank
"Los Angeles County, CA",6037,"5,283,457",1
"Maricopa County, AZ",4013,"3,214,001",2
"Cook County, IL",17031,"2,965,530",3
"Harris County, TX",48201,"2,804,918",4
"San Diego County, CA",6073,"2,310,046",5
"Miami-Dade County, FL",12086,"2,015,422",6
"Orange County, CA",6059,"1,974,749",7
"Dallas County, TX",48113,"1,526,798",8
"Riverside County, CA",6065,"1,470,294",9
"Bexar County, TX",48029,"1,457,657",10
"King County, WA",53033,"1,397,436",11
"Tarrant County, TX",48439,"1,360,100",12
"San Bernardino County, CA",6071,"1,306,582",13
"Clark County, NV",32003,"1,297,573",14
"Middlesex County, MA",25017,"1,228,790",15
"Suffolk County, NY",36103,"1,212,079",16
"Broward County, FL",12011,"1,153,566",17
"Kings County, NY",36047,"1,128,927",18
"Palm Beach County, FL",12099,"1,042,509",19
"Allegheny County, PA",42003,"992,002",20
"Nassau County, NY",36059,"945,893",21
"Hillsborough County, FL",12057,"940,105",22
"Wayne County, MI",26163,"940,071",23
"Oakland County, MI",26125,"937,568",24
"Queens County, NY",36081,"936,414",25
"New York County, NY",36061,"928,883",26
"Hennepin County, MN",27053,"891,912",27
"Salt Lake County, UT",49035,"886,578",28
"Santa Clara County, CA",6085,"883,775",29
"Sacramento County, CA",6067,"876,485",30
"Travis County, TX",48453,"874,352",31
"Franklin County, OH",39049,"841,819",32
"Orange County, FL",12095,"807,479",33
"Cuyahoga County, OH",39035,"795,889",34
"Pima County, AZ",4019,"775,748",35
"Pinellas County, FL",12103,"774,949",36
"Hidalgo County, TX",48215,"744,392",37
"DuPage County, IL",17043,"734,032",38
"Erie County, NY",36029,"722,667",39
"Fairfax County, VA",51059,"713,476",40
"Macomb County, MI",26099,"711,089",41
"Alameda County, CA",6001,"703,973",42
"Fairfield County, CT",9001,"694,622",43
"St. Louis County, MO",29189,"692,735",44
"El Paso County, TX",48141,"690,665",45
"Worcester County, MA",25027,"689,496",46
"Ventura County, CA",6111,"669,728",47
"Wake County, NC",37183,"669,687",48
"Contra Costa County, CA",6013,"661,857",49
"Bergen County, NJ",34003,"658,572",50
"Montgomery County, PA",42091,"655,493",51
"Hartford County, CT",9003,"648,438",52
"Kern County, CA",6029,"647,832",53
"New Haven County, CT",9009,"644,385",54
"Philadelphia County, PA",42101,"643,570",55
"Westchester County, NY",36119,"641,027",56
"Collin County, TX",48085,"638,396",57
"Pierce County, WA",53053,"619,585",58
"Essex County, MA",25009,"615,804",59
"Multnomah County, OR",41051,"608,567",60
"Fresno County, CA",6019,"593,119",61
"Snohomish County, WA",53061,"591,763",62
"Milwaukee, WI",55079,"583,848",63
"Marion County, IN",18097,"582,047",64
"Lee County, FL",12071,"578,220",65
"Denton County, TX",48121,"578,108",66
"Monroe County, NY",36055,"569,464",67
"Montgomery County, MD",24031,"566,239",68
"Mecklenburg County, NC",37119,"565,183",69
"Lake County, IL",17097,"560,871",70
"Bucks County, PA",42017,"556,082",71
"Norfolk County, MA",25021,"553,150",72
"Jefferson County, KY",21111,"552,489",73
"Duval County, FL",12031,"551,020",74
"Hamilton County, OH",39061,"549,898",75
"Ocean County, NJ",34029,"537,404",76
"El Paso County, CO",8041,"533,391",77
"Oklahoma County, OK",40109,"526,547",78
"Utah County, UT",49049,"520,064",79
"Baltimore County, MD",24005,"519,063",80
"Monmouth County, NJ",34025,"516,179",81
"Denver County, CO",8031,"510,441",82
"Kent County, MI",26081,"508,965",83
"Will County, IL",17197,"508,499",84
"Jefferson County, CO",8059,"507,544",85
"Middlesex County, NJ",34023,"502,779",86
"Polk County, FL",12105,"500,894",87
"Johnson County, KS",20091,"497,049",88
"Bernalillo County, NM",35001,"487,865",89
"Bristol County, MA",25005,"479,496",90
"Lancaster County, PA",42071,"472,127",91
"Brevard County, FL",12009,"466,147",92
"Providence County, RI",44007,"462,744",93
"Jackson County, MO",29095,"455,236",94
"Gwinnett County, GA",13135,"451,951",95
"Fulton County, GA",13121,"450,929",96
"Montgomery County, TX",48339,"448,305",97
"Arapahoe County, CO",8005,"447,507",98
"Tulsa County, OK",40143,"444,511",99
"Cobb County, GA",13067,"441,994",100
"Chester County, PA",42029,"441,027",101
"Washington County, OR",41067,"437,467",102
"Dane, WI",55025,"434,792",103
"Pasco County, FL",12101,"431,979",104
"Spokane County, WA",53063,"431,646",105
"Douglas County, NE",31055,"431,358",106
"Summit County, OH",39153,"430,787",107
"Plymouth County, MA",25023,"428,806",108
"Volusia County, FL",12127,"425,913",109
"Suffolk County, MA",25025,"425,220",110
"Davidson County, TN",47037,"420,689",111
